subplot_name,subplot_id,block_number,plot_number,subplot_number,pair_plot,plot_subplot,first_harvest,second_harvest,third_harvest,fourth_harvest,harvest_1,harvest_2,harvest_3,harvest_4,ManagementFactor:SpringOatPeaIntercrop_2024_NY_biomass_T1,ManagementFactor:SpringOatPeaIntercrop_2024_NY_biomass_T2,ManagementFactor:SpringOatPeaIntercrop_2024_NY_biomass_T3,ManagementFactor:SpringOatPeaIntercrop_2024_NY_biomass_T4
SpringOatPeaIntercrop_2024_NY_26_subplot_2,713771,1,26,2,13_26,26_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_26_subplot_3,713773,1,26,3,13_26,26_3,,,subplot_3,,,,26_3,,,,1,
SpringOatPeaIntercrop_2024_NY_27_subplot_1,713679,1,27,1,14_27,27_1,subplot_1,,,,27_1,,,,1,,,
SpringOatPeaIntercrop_2024_NY_27_subplot_2,713681,1,27,2,14_27,27_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_27_subplot_3,713683,1,27,3,14_27,27_3,,,subplot_3,,,,27_3,,,,1,
SpringOatPeaIntercrop_2024_NY_28_subplot_1,714372,1,28,1,14_28,28_1,subplot_1,,,,28_1,,,,1,,,
SpringOatPeaIntercrop_2024_NY_28_subplot_2,714374,1,28,2,14_28,28_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_28_subplot_3,714376,1,28,3,14_28,28_3,,,subplot_3,,,,28_3,,,,1,
SpringOatPeaIntercrop_2024_NY_29_subplot_1,713799,1,29,1,15_29,29_1,,,subplot_1,,,,29_1,,,,1,
SpringOatPeaIntercrop_2024_NY_29_subplot_2,713801,1,29,2,15_29,29_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_29_subplot_3,713803,1,29,3,15_29,29_3,,subplot_3,,,,29_3,,,,1,,
SpringOatPeaIntercrop_2024_NY_30_subplot_1,714205,1,30,1,15_30,30_1,,,subplot_1,,,,30_1,,,,1,
SpringOatPeaIntercrop_2024_NY_30_subplot_2,714207,1,30,2,15_30,30_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_30_subplot_3,714209,1,30,3,15_30,30_3,,subplot_3,,,,30_3,,,,1,,
SpringOatPeaIntercrop_2024_NY_31_subplot_1,714181,1,31,1,16_31,31_1,,,subplot_1,,,,31_1,,,,1,
SpringOatPeaIntercrop_2024_NY_31_subplot_2,714183,1,31,2,16_31,31_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_31_subplot_3,714185,1,31,3,16_31,31_3,subplot_3,,,,31_3,,,,1,,,
SpringOatPeaIntercrop_2024_NY_32_subplot_1,713564,1,32,1,16_32,32_1,,,subplot_1,,,,32_1,,,,1,
SpringOatPeaIntercrop_2024_NY_32_subplot_2,713566,1,32,2,16_32,32_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_32_subplot_3,713568,1,32,3,16_32,32_3,subplot_3,,,,32_3,,,,1,,,
SpringOatPeaIntercrop_2024_NY_33_subplot_1,714247,1,33,1,17_33,33_1,,,,subplot_1,,,,33_1,,,,1
SpringOatPeaIntercrop_2024_NY_33_subplot_2,714249,1,33,2,17_33,33_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_33_subplot_3,714251,1,33,3,17_33,33_3,subplot_3,,,,33_3,,,,1,,,
SpringOatPeaIntercrop_2024_NY_34_subplot_1,714151,1,34,1,17_34,34_1,,,,subplot_1,,,,34_1,,,,1
SpringOatPeaIntercrop_2024_NY_34_subplot_2,714153,1,34,2,17_34,34_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_34_subplot_3,714155,1,34,3,17_34,34_3,subplot_3,,,,34_3,,,,1,,,
SpringOatPeaIntercrop_2024_NY_35_subplot_1,714019,1,35,1,18_35,35_1,,,subplot_1,,,,35_1,,,,1,
SpringOatPeaIntercrop_2024_NY_35_subplot_2,714021,1,35,2,18_35,35_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_35_subplot_3,714022,1,35,3,18_35,35_3,,subplot_3,,,,35_3,,,,1,,
SpringOatPeaIntercrop_2024_NY_36_subplot_1,714098,1,36,1,18_36,36_1,,,subplot_1,,,,36_1,,,,1,
SpringOatPeaIntercrop_2024_NY_36_subplot_2,714099,1,36,2,18_36,36_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_36_subplot_3,714100,1,36,3,18_36,36_3,,subplot_3,,,,36_3,,,,1,,
SpringOatPeaIntercrop_2024_NY_37_subplot_1,714478,1,37,1,19_37,37_1,,subplot_1,,,,37_1,,,,1,,
SpringOatPeaIntercrop_2024_NY_37_subplot_2,714480,1,37,2,19_37,37_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_37_subplot_3,714482,1,37,3,19_37,37_3,,,subplot_3,,,,37_3,,,,1,
SpringOatPeaIntercrop_2024_NY_38_subplot_1,713538,1,38,1,19_38,38_1,,subplot_1,,,,38_1,,,,1,,
SpringOatPeaIntercrop_2024_NY_38_subplot_2,713540,1,38,2,19_38,38_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_38_subplot_3,713542,1,38,3,19_38,38_3,,,subplot_3,,,,38_3,,,,1,
SpringOatPeaIntercrop_2024_NY_39_subplot_1,714113,1,39,1,20_39,39_1,subplot_1,,,,39_1,,,,1,,,
SpringOatPeaIntercrop_2024_NY_39_subplot_2,714114,1,39,2,20_39,39_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_39_subplot_3,714115,1,39,3,20_39,39_3,,,,subplot_3,,,,39_3,,,,1
SpringOatPeaIntercrop_2024_NY_40_subplot_1,713842,1,40,1,20_40,40_1,subplot_1,,,,40_1,,,,1,,,
SpringOatPeaIntercrop_2024_NY_40_subplot_2,713844,1,40,2,20_40,40_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_40_subplot_3,713845,1,40,3,20_40,40_3,,,,subplot_3,,,,40_3,,,,1
SpringOatPeaIntercrop_2024_NY_41_subplot_1,713829,1,41,1,21_41,41_1,,,subplot_1,,,,41_1,,,,1,
SpringOatPeaIntercrop_2024_NY_41_subplot_2,713831,1,41,2,21_41,41_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_41_subplot_3,713833,1,41,3,21_41,41_3,,subplot_3,,,,41_3,,,,1,,
SpringOatPeaIntercrop_2024_NY_42_subplot_1,714502,1,42,1,21_42,42_1,,,subplot_1,,,,42_1,,,,1,
SpringOatPeaIntercrop_2024_NY_42_subplot_2,714504,1,42,2,21_42,42_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_42_subplot_3,714506,1,42,3,21_42,42_3,,subplot_3,,,,42_3,,,,1,,
SpringOatPeaIntercrop_2024_NY_43_subplot_1,713614,1,43,1,22_43,43_1,,,,subplot_1,,,,43_1,,,,1
SpringOatPeaIntercrop_2024_NY_43_subplot_2,713616,1,43,2,22_43,43_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_43_subplot_3,713618,1,43,3,22_43,43_3,,subplot_3,,,,43_3,,,,1,,
SpringOatPeaIntercrop_2024_NY_44_subplot_1,713750,1,44,1,22_44,44_1,,,,subplot_1,,,,44_1,,,,1
SpringOatPeaIntercrop_2024_NY_44_subplot_2,713752,1,44,2,22_44,44_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_44_subplot_3,713754,1,44,3,22_44,44_3,,subplot_3,,,,44_3,,,,1,,
SpringOatPeaIntercrop_2024_NY_45_subplot_1,714101,1,45,1,23_45,45_1,,,subplot_1,,,,45_1,,,,1,
SpringOatPeaIntercrop_2024_NY_45_subplot_2,714102,1,45,2,23_45,45_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_45_subplot_3,714103,1,45,3,23_45,45_3,,subplot_3,,,,45_3,,,,1,,
SpringOatPeaIntercrop_2024_NY_46_subplot_1,714035,1,46,1,23_46,46_1,,,subplot_1,,,,46_1,,,,1,
SpringOatPeaIntercrop_2024_NY_46_subplot_2,714036,1,46,2,23_46,46_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_46_subplot_3,714037,1,46,3,23_46,46_3,,subplot_3,,,,46_3,,,,1,,
SpringOatPeaIntercrop_2024_NY_47_subplot_1,713544,1,47,1,24_47,47_1,,,,subplot_1,,,,47_1,,,,1
SpringOatPeaIntercrop_2024_NY_47_subplot_2,713546,1,47,2,24_47,47_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_47_subplot_3,713548,1,47,3,24_47,47_3,subplot_3,,,,47_3,,,,1,,,
SpringOatPeaIntercrop_2024_NY_48_subplot_1,714496,1,48,1,24_48,48_1,,,,subplot_1,,,,48_1,,,,1
SpringOatPeaIntercrop_2024_NY_48_subplot_2,714498,1,48,2,24_48,48_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_48_subplot_3,714500,1,48,3,24_48,48_3,subplot_3,,,,48_3,,,,1,,,
SpringOatPeaIntercrop_2024_NY_49_subplot_1,714026,1,49,1,25_49,49_1,,,,subplot_1,,,,49_1,,,,1
SpringOatPeaIntercrop_2024_NY_49_subplot_2,714027,1,49,2,25_49,49_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_49_subplot_3,714028,1,49,3,25_49,49_3,subplot_3,,,,49_3,,,,1,,,
SpringOatPeaIntercrop_2024_NY_50_subplot_1,714241,1,50,1,25_50,50_1,,,,subplot_1,,,,50_1,,,,1
SpringOatPeaIntercrop_2024_NY_50_subplot_2,714243,1,50,2,25_50,50_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_50_subplot_3,714245,1,50,3,25_50,50_3,subplot_3,,,,50_3,,,,1,,,
SpringOatPeaIntercrop_2024_NY_51_subplot_1,714119,2,51,1,26_51,51_1,,,,subplot_1,,,,51_1,,,,1
SpringOatPeaIntercrop_2024_NY_51_subplot_2,714120,2,51,2,26_51,51_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_51_subplot_3,714121,2,51,3,26_51,51_3,,subplot_3,,,,51_3,,,,1,,
SpringOatPeaIntercrop_2024_NY_52_subplot_1,713590,2,52,1,26_52,52_1,,,,subplot_1,,,,52_1,,,,1
SpringOatPeaIntercrop_2024_NY_52_subplot_2,713592,2,52,2,26_52,52_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_52_subplot_3,713594,2,52,3,26_52,52_3,,subplot_3,,,,52_3,,,,1,,
SpringOatPeaIntercrop_2024_NY_53_subplot_1,714288,2,53,1,27_53,53_1,,subplot_1,,,,53_1,,,,1,,
SpringOatPeaIntercrop_2024_NY_53_subplot_2,714290,2,53,2,27_53,53_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_53_subplot_3,714292,2,53,3,27_53,53_3,,,subplot_3,,,,53_3,,,,1,
SpringOatPeaIntercrop_2024_NY_54_subplot_1,714199,2,54,1,27_54,54_1,,subplot_1,,,,54_1,,,,1,,
SpringOatPeaIntercrop_2024_NY_54_subplot_2,714201,2,54,2,27_54,54_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_54_subplot_3,714203,2,54,3,27_54,54_3,,,subplot_3,,,,54_3,,,,1,
SpringOatPeaIntercrop_2024_NY_55_subplot_1,713978,2,55,1,28_55,55_1,,,,subplot_1,,,,55_1,,,,1
SpringOatPeaIntercrop_2024_NY_55_subplot_2,713980,2,55,2,28_55,55_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_55_subplot_3,713982,2,55,3,28_55,55_3,subplot_3,,,,55_3,,,,1,,,
SpringOatPeaIntercrop_2024_NY_56_subplot_1,714065,2,56,1,28_56,56_1,,,,subplot_1,,,,56_1,,,,1
SpringOatPeaIntercrop_2024_NY_56_subplot_2,714066,2,56,2,28_56,56_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_56_subplot_3,714067,2,56,3,28_56,56_3,subplot_3,,,,56_3,,,,1,,,
SpringOatPeaIntercrop_2024_NY_57_subplot_1,714443,2,57,1,29_57,57_1,,,subplot_1,,,,57_1,,,,1,
SpringOatPeaIntercrop_2024_NY_57_subplot_2,714445,2,57,2,29_57,57_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_57_subplot_3,714447,2,57,3,29_57,57_3,subplot_3,,,,57_3,,,,1,,,
SpringOatPeaIntercrop_2024_NY_58_subplot_1,713503,2,58,1,29_58,58_1,,,subplot_1,,,,58_1,,,,1,
SpringOatPeaIntercrop_2024_NY_58_subplot_2,713505,2,58,2,29_58,58_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_58_subplot_3,713507,2,58,3,29_58,58_3,subplot_3,,,,58_3,,,,1,,,
SpringOatPeaIntercrop_2024_NY_59_subplot_1,714083,2,59,1,30_59,59_1,subplot_1,,,,59_1,,,,1,,,
SpringOatPeaIntercrop_2024_NY_59_subplot_2,714084,2,59,2,30_59,59_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_59_subplot_3,714085,2,59,3,30_59,59_3,,,,subplot_3,,,,59_3,,,,1
SpringOatPeaIntercrop_2024_NY_60_subplot_1,714347,2,60,1,30_60,60_1,subplot_1,,,,60_1,,,,1,,,
SpringOatPeaIntercrop_2024_NY_60_subplot_2,714349,2,60,2,30_60,60_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_60_subplot_3,714351,2,60,3,30_60,60_3,,,,subplot_3,,,,60_3,,,,1
SpringOatPeaIntercrop_2024_NY_61_subplot_1,714323,2,61,1,31_61,61_1,,subplot_1,,,,61_1,,,,1,,
SpringOatPeaIntercrop_2024_NY_61_subplot_2,714325,2,61,2,31_61,61_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_61_subplot_3,714327,2,61,3,31_61,61_3,,,subplot_3,,,,61_3,,,,1,
SpringOatPeaIntercrop_2024_NY_62_subplot_1,713961,2,62,1,31_62,62_1,,subplot_1,,,,62_1,,,,1,,
SpringOatPeaIntercrop_2024_NY_62_subplot_2,713963,2,62,2,31_62,62_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_62_subplot_3,713965,2,62,3,31_62,62_3,,,subplot_3,,,,62_3,,,,1,
SpringOatPeaIntercrop_2024_NY_63_subplot_1,714145,2,63,1,32_63,63_1,,subplot_1,,,,63_1,,,,1,,
SpringOatPeaIntercrop_2024_NY_63_subplot_2,714147,2,63,2,32_63,63_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_63_subplot_3,714149,2,63,3,32_63,63_3,,,,subplot_3,,,,63_3,,,,1
SpringOatPeaIntercrop_2024_NY_64_subplot_1,714252,2,64,1,32_64,64_1,,subplot_1,,,,64_1,,,,1,,
SpringOatPeaIntercrop_2024_NY_64_subplot_2,714254,2,64,2,32_64,64_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_64_subplot_3,714256,2,64,3,32_64,64_3,,,,subplot_3,,,,64_3,,,,1
SpringOatPeaIntercrop_2024_NY_65_subplot_1,713602,2,65,1,33_65,65_1,,,subplot_1,,,,65_1,,,,1,
SpringOatPeaIntercrop_2024_NY_65_subplot_2,713604,2,65,2,33_65,65_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_65_subplot_3,713606,2,65,3,33_65,65_3,,subplot_3,,,,65_3,,,,1,,
SpringOatPeaIntercrop_2024_NY_66_subplot_1,714584,2,66,1,33_66,66_1,,,subplot_1,,,,66_1,,,,1,
SpringOatPeaIntercrop_2024_NY_66_subplot_2,714586,2,66,2,33_66,66_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_66_subplot_3,714588,2,66,3,33_66,66_3,,subplot_3,,,,66_3,,,,1,,
SpringOatPeaIntercrop_2024_NY_67_subplot_1,714050,2,67,1,34_67,67_1,,,subplot_1,,,,67_1,,,,1,
SpringOatPeaIntercrop_2024_NY_67_subplot_2,714051,2,67,2,34_67,67_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_67_subplot_3,714052,2,67,3,34_67,67_3,,subplot_3,,,,67_3,,,,1,,
SpringOatPeaIntercrop_2024_NY_68_subplot_1,713937,2,68,1,34_68,68_1,,,subplot_1,,,,68_1,,,,1,
SpringOatPeaIntercrop_2024_NY_68_subplot_2,713939,2,68,2,34_68,68_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_68_subplot_3,713941,2,68,3,34_68,68_3,,subplot_3,,,,68_3,,,,1,,
SpringOatPeaIntercrop_2024_NY_69_subplot_1,714555,2,69,1,35_69,69_1,,subplot_1,,,,69_1,,,,1,,
SpringOatPeaIntercrop_2024_NY_69_subplot_2,714557,2,69,2,35_69,69_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_69_subplot_3,714559,2,69,3,35_69,69_3,,,,subplot_3,,,,69_3,,,,1
SpringOatPeaIntercrop_2024_NY_70_subplot_1,714461,2,70,1,35_70,70_1,,subplot_1,,,,70_1,,,,1,,
SpringOatPeaIntercrop_2024_NY_70_subplot_2,714462,2,70,2,35_70,70_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_70_subplot_3,714464,2,70,3,35_70,70_3,,,,subplot_3,,,,70_3,,,,1
SpringOatPeaIntercrop_2024_NY_71_subplot_1,714543,2,71,1,36_71,71_1,subplot_1,,,,71_1,,,,1,,,
SpringOatPeaIntercrop_2024_NY_71_subplot_2,714545,2,71,2,36_71,71_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_71_subplot_3,714547,2,71,3,36_71,71_3,,,,subplot_3,,,,71_3,,,,1
SpringOatPeaIntercrop_2024_NY_72_subplot_1,713781,2,72,1,36_72,72_1,subplot_1,,,,72_1,,,,1,,,
