studyName,studyYear,studyLoc,replicate,blockNumber,rowNumber,colNumber,plotNumber,germplasmName,intercropGermplasmName,observationLevel,observationUnitName,Oat_Height_1,Oat_Height_2,Oat_Height_3,Pea_Height_1,Pea_Height_2,Pea_Height_3,Oat_establishment,Pea_establishment,Lodging,Oat_Heading_Date,Pea_Flowering_Date
B4I_2025_AL,2025,AL,1,1,1,6,1006,IL23-1209,NDP160188Y,plot,B4I_2025_AL_1006,26,76,26,21,45,21,12,5,4,125,119
B4I_2025_AL,2025,AL,1,1,1,6,1006,IL23-1209,NA,subplot,B4I_2025_AL_1006_subplot_1,26,74,NA,20,42,NA,10,8,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,6,1006,IL23-1209,NA,subplot,B4I_2025_AL_1006_subplot_2,24,66,NA,23,40,NA,8,4,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,6,1006,IL23-1209,NA,subplot,B4I_2025_AL_1006_subplot_3,26,76,NA,21,45,NA,12,5,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,7,1007,IL23-1206,NDP170052G,plot,B4I_2025_AL_1007,26,79,26,20,56,20,11,3,4,128,119
B4I_2025_AL,2025,AL,1,1,1,7,1007,IL23-1206,NA,subplot,B4I_2025_AL_1007_subplot_1,27,62,NA,20,45,NA,10,4,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,7,1007,IL23-1206,NA,subplot,B4I_2025_AL_1007_subplot_2,24,65,NA,18,46,NA,10,2,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,7,1007,IL23-1206,NA,subplot,B4I_2025_AL_1007_subplot_3,26,79,NA,20,56,NA,11,3,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,8,1008,IL21-8143,NDP250164Y,plot,B4I_2025_AL_1008,25,70,25,18,39,18,5,4,2,119,115
B4I_2025_AL,2025,AL,1,1,1,8,1008,IL21-8143,NA,subplot,B4I_2025_AL_1008_subplot_1,22,71,NA,14,42,NA,12,5,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,8,1008,IL21-8143,NA,subplot,B4I_2025_AL_1008_subplot_2,24,72,NA,19,44,NA,7,6,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,8,1008,IL21-8143,NA,subplot,B4I_2025_AL_1008_subplot_3,25,70,NA,18,39,NA,5,4,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,9,1009,IL23-3655,NDP250040Y,plot,B4I_2025_AL_1009,28,84,28,17,47,17,13,7,4,122,115
B4I_2025_AL,2025,AL,1,1,1,9,1009,IL23-3655,NA,subplot,B4I_2025_AL_1009_subplot_1,26,76,NA,18,43,NA,8,4,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,9,1009,IL23-3655,NA,subplot,B4I_2025_AL_1009_subplot_2,21,82,NA,14,37,NA,13,7,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,9,1009,IL23-3655,NA,subplot,B4I_2025_AL_1009_subplot_3,28,84,NA,17,47,NA,13,7,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,10,1010,IL23-1669,NDP250093Y,plot,B4I_2025_AL_1010,25,78,25,14,51,14,9,3,6,122,115
B4I_2025_AL,2025,AL,1,1,1,10,1010,IL23-1669,NA,subplot,B4I_2025_AL_1010_subplot_1,24,81,NA,22,52,NA,10,3,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,10,1010,IL23-1669,NA,subplot,B4I_2025_AL_1010_subplot_2,25,78,NA,19,50,NA,8,6,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,10,1010,IL23-1669,NA,subplot,B4I_2025_AL_1010_subplot_3,25,78,NA,14,51,NA,9,3,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,11,1011,IL23-3576,NDP250095Y,plot,B4I_2025_AL_1011,22,73,22,18,30,18,10,5,8,122,115
B4I_2025_AL,2025,AL,1,1,1,11,1011,IL23-3576,NA,subplot,B4I_2025_AL_1011_subplot_1,26,82,NA,20,46,NA,10,5,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,11,1011,IL23-3576,NA,subplot,B4I_2025_AL_1011_subplot_2,24,65,NA,21,42,NA,17,8,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,11,1011,IL23-3576,NA,subplot,B4I_2025_AL_1011_subplot_3,22,73,NA,18,30,NA,10,5,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,12,1012,IL21-7653,NDP250163Y,plot,B4I_2025_AL_1012,27,81,27,22,62,22,9,8,5,115,115
B4I_2025_AL,2025,AL,1,1,1,12,1012,IL21-7653,NA,subplot,B4I_2025_AL_1012_subplot_1,23,76,NA,17,54,NA,10,3,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,12,1012,IL21-7653,NA,subplot,B4I_2025_AL_1012_subplot_2,25,65,NA,19,42,NA,11,4,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,12,1012,IL21-7653,NA,subplot,B4I_2025_AL_1012_subplot_3,27,81,NA,22,62,NA,9,8,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,13,1013,IL23-1450,NDP150412G,plot,B4I_2025_AL_1013,23,77,23,15,44,15,16,8,8,119,115
B4I_2025_AL,2025,AL,1,1,1,13,1013,IL23-1450,NA,subplot,B4I_2025_AL_1013_subplot_1,24,79,NA,14,50,NA,6,6,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,13,1013,IL23-1450,NA,subplot,B4I_2025_AL_1013_subplot_2,26,80,NA,14,41,NA,10,3,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,13,1013,IL23-1450,NA,subplot,B4I_2025_AL_1013_subplot_3,23,77,NA,15,44,NA,16,8,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,14,1014,IL23-1815,NDP250148G,plot,B4I_2025_AL_1014,25,79,25,20,64,20,4,6,5,125,119
B4I_2025_AL,2025,AL,1,1,1,14,1014,IL23-1815,NA,subplot,B4I_2025_AL_1014_subplot_1,20,80,NA,22,52,NA,16,6,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,14,1014,IL23-1815,NA,subplot,B4I_2025_AL_1014_subplot_2,21,79,NA,18,57,NA,9,7,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,14,1014,IL23-1815,NA,subplot,B4I_2025_AL_1014_subplot_3,25,79,NA,20,64,NA,4,6,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,15,1015,IL23-1423,NDP170008G,plot,B4I_2025_AL_1015,24,82,24,21,50,21,7,4,6,119,115
B4I_2025_AL,2025,AL,1,1,1,15,1015,IL23-1423,NA,subplot,B4I_2025_AL_1015_subplot_1,26,82,NA,19,53,NA,15,5,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,15,1015,IL23-1423,NA,subplot,B4I_2025_AL_1015_subplot_2,25,81,NA,21,43,NA,12,1,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,15,1015,IL23-1423,NA,subplot,B4I_2025_AL_1015_subplot_3,24,82,NA,21,50,NA,7,4,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,16,1016,IL23-1459,NDP170089G,plot,B4I_2025_AL_1016,24,77,24,17,56,17,14,3,6,119,115
B4I_2025_AL,2025,AL,1,1,1,16,1016,IL23-1459,NA,subplot,B4I_2025_AL_1016_subplot_1,24,79,NA,15,38,NA,5,3,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,16,1016,IL23-1459,NA,subplot,B4I_2025_AL_1016_subplot_2,22,85,NA,17,46,NA,13,7,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,16,1016,IL23-1459,NA,subplot,B4I_2025_AL_1016_subplot_3,24,77,NA,17,56,NA,14,3,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,17,1017,IL23-739,NDP250086Y,plot,B4I_2025_AL_1017,23,91,23,19,57,19,11,7,1,125,119
B4I_2025_AL,2025,AL,1,1,1,17,1017,IL23-739,NA,subplot,B4I_2025_AL_1017_subplot_1,25,77,NA,20,49,NA,10,5,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,17,1017,IL23-739,NA,subplot,B4I_2025_AL_1017_subplot_2,26,79,NA,22,46,NA,11,6,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,17,1017,IL23-739,NA,subplot,B4I_2025_AL_1017_subplot_3,23,91,NA,19,57,NA,11,7,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,18,1018,IL23-810,NDP121711R,plot,B4I_2025_AL_1018,22,65,22,12,40,12,11,3,8,128,119
B4I_2025_AL,2025,AL,1,1,1,18,1018,IL23-810,NA,subplot,B4I_2025_AL_1018_subplot_1,23,65,NA,12,45,NA,19,5,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,18,1018,IL23-810,NA,subplot,B4I_2025_AL_1018_subplot_2,23,72,NA,24,35,NA,20,4,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,18,1018,IL23-810,NA,subplot,B4I_2025_AL_1018_subplot_3,22,65,NA,12,40,NA,11,3,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,19,1019,IL22-4548,NDP250168Y,plot,B4I_2025_AL_1019,24,87,24,23,53,23,14,5,5,122,115
B4I_2025_AL,2025,AL,1,1,1,19,1019,IL22-4548,NA,subplot,B4I_2025_AL_1019_subplot_1,23,81,NA,19,37,NA,7,9,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,19,1019,IL22-4548,NA,subplot,B4I_2025_AL_1019_subplot_2,25,82,NA,20,52,NA,21,5,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,19,1019,IL22-4548,NA,subplot,B4I_2025_AL_1019_subplot_3,24,87,NA,23,53,NA,14,5,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,20,1020,IL23-3673,NDP170181Y,plot,B4I_2025_AL_1020,26,82,26,20,49,20,21,8,8,122,115
B4I_2025_AL,2025,AL,1,1,1,20,1020,IL23-3673,NA,subplot,B4I_2025_AL_1020_subplot_1,22,81,NA,18,52,NA,28,6,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,20,1020,IL23-3673,NA,subplot,B4I_2025_AL_1020_subplot_2,24,86,NA,19,47,NA,18,5,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,20,1020,IL23-3673,NA,subplot,B4I_2025_AL_1020_subplot_3,26,82,NA,20,49,NA,21,8,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,21,1021,IL23-4039,NDP250036Y,plot,B4I_2025_AL_1021,24,78,24,15,53,15,23,4,7,122,115
B4I_2025_AL,2025,AL,1,1,1,21,1021,IL23-4039,NA,subplot,B4I_2025_AL_1021_subplot_1,24,82,NA,15,41,NA,15,9,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,21,1021,IL23-4039,NA,subplot,B4I_2025_AL_1021_subplot_2,22,87,NA,15,53,NA,21,7,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,21,1021,IL23-4039,NA,subplot,B4I_2025_AL_1021_subplot_3,24,78,NA,15,53,NA,23,4,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,22,1022,IL23-453,NDP250064Y,plot,B4I_2025_AL_1022,22,84,22,14,47,14,18,9,7,122,115
B4I_2025_AL,2025,AL,1,1,1,22,1022,IL23-453,NA,subplot,B4I_2025_AL_1022_subplot_1,20,88,NA,15,54,NA,13,8,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,22,1022,IL23-453,NA,subplot,B4I_2025_AL_1022_subplot_2,24,75,NA,17,51,NA,23,3,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,22,1022,IL23-453,NA,subplot,B4I_2025_AL_1022_subplot_3,22,84,NA,14,47,NA,18,9,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,23,1023,IL23-4274,NDP250111G,plot,B4I_2025_AL_1023,24,74,24,17,44,17,16,9,5,125,119
B4I_2025_AL,2025,AL,1,1,1,23,1023,IL23-4274,NA,subplot,B4I_2025_AL_1023_subplot_1,23,65,NA,15,32,NA,23,4,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,23,1023,IL23-4274,NA,subplot,B4I_2025_AL_1023_subplot_2,25,70,NA,15,40,NA,21,6,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,23,1023,IL23-4274,NA,subplot,B4I_2025_AL_1023_subplot_3,24,74,NA,17,44,NA,16,9,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,24,1024,IL19-3618,NDP170151Y,plot,B4I_2025_AL_1024,23,70,23,24,50,24,21,10,7,128,119
B4I_2025_AL,2025,AL,1,1,1,24,1024,IL19-3618,NA,subplot,B4I_2025_AL_1024_subplot_1,25,74,NA,15,78,NA,14,12,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,24,1024,IL19-3618,NA,subplot,B4I_2025_AL_1024_subplot_2,20,72,NA,15,55,NA,20,6,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,24,1024,IL19-3618,NA,subplot,B4I_2025_AL_1024_subplot_3,23,70,NA,24,50,NA,21,10,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,25,1025,IL23-1431,NDP250162Y,plot,B4I_2025_AL_1025,25,85,25,17,52,17,14,7,6,122,115
B4I_2025_AL,2025,AL,1,1,1,25,1025,IL23-1431,NA,subplot,B4I_2025_AL_1025_subplot_1,24,68,NA,22,45,NA,20,4,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,25,1025,IL23-1431,NA,subplot,B4I_2025_AL_1025_subplot_2,25,77,NA,20,50,NA,18,10,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,25,1025,IL23-1431,NA,subplot,B4I_2025_AL_1025_subplot_3,25,85,NA,17,52,NA,14,7,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,26,1026,IL23-377,NDP150218Y,plot,B4I_2025_AL_1026,26,79,26,15,56,15,18,11,5,125,119
B4I_2025_AL,2025,AL,1,1,1,26,1026,IL23-377,NA,subplot,B4I_2025_AL_1026_subplot_1,26,75,NA,17,42,NA,21,7,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,26,1026,IL23-377,NA,subplot,B4I_2025_AL_1026_subplot_2,24,78,NA,17,49,NA,16,10,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,26,1026,IL23-377,NA,subplot,B4I_2025_AL_1026_subplot_3,26,79,NA,15,56,NA,18,11,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,27,1027,IL19-4556,NDP170012G,plot,B4I_2025_AL_1027,25,78,25,14,51,14,18,9,5,128,119
B4I_2025_AL,2025,AL,1,1,1,27,1027,IL19-4556,NA,subplot,B4I_2025_AL_1027_subplot_1,21,69,NA,18,49,NA,14,7,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,27,1027,IL19-4556,NA,subplot,B4I_2025_AL_1027_subplot_2,22,77,NA,15,56,NA,14,7,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,27,1027,IL19-4556,NA,subplot,B4I_2025_AL_1027_subplot_3,25,78,NA,14,51,NA,18,9,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,28,1028,IL23-959,NDP250155Y,plot,B4I_2025_AL_1028,24,71,24,15,36,15,15,10,4,125,119
B4I_2025_AL,2025,AL,1,1,1,28,1028,IL23-959,NA,subplot,B4I_2025_AL_1028_subplot_1,22,76,NA,14,42,NA,17,5,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,28,1028,IL23-959,NA,subplot,B4I_2025_AL_1028_subplot_2,24,72,NA,14,41,NA,22,3,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,28,1028,IL23-959,NA,subplot,B4I_2025_AL_1028_subplot_3,24,71,NA,15,36,NA,15,10,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,29,1029,IL23-376,NDP250104G,plot,B4I_2025_AL_1029,25,70,25,12,40,12,21,7,2,125,119
B4I_2025_AL,2025,AL,1,1,1,29,1029,IL23-376,NA,subplot,B4I_2025_AL_1029_subplot_1,23,74,NA,14,43,NA,25,7,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,29,1029,IL23-376,NA,subplot,B4I_2025_AL_1029_subplot_2,27,78,NA,12,48,NA,15,2,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,29,1029,IL23-376,NA,subplot,B4I_2025_AL_1029_subplot_3,25,70,NA,12,40,NA,21,7,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,30,1030,IL23-524,NDP250160Y,plot,B4I_2025_AL_1030,25,78,25,15,44,15,11,5,3,125,119
B4I_2025_AL,2025,AL,1,1,1,30,1030,IL23-524,NA,subplot,B4I_2025_AL_1030_subplot_1,28,85,NA,13,46,NA,24,4,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,30,1030,IL23-524,NA,subplot,B4I_2025_AL_1030_subplot_2,24,78,NA,16,47,NA,18,8,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,30,1030,IL23-524,NA,subplot,B4I_2025_AL_1030_subplot_3,25,78,NA,15,44,NA,11,5,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,31,1031,IL23-2554,NDP250067Y,plot,B4I_2025_AL_1031,28,72,28,15,45,15,24,9,2,125,119
B4I_2025_AL,2025,AL,1,1,1,31,1031,IL23-2554,NA,subplot,B4I_2025_AL_1031_subplot_1,26,75,NA,10,42,NA,19,9,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,31,1031,IL23-2554,NA,subplot,B4I_2025_AL_1031_subplot_2,23,71,NA,12,50,NA,21,8,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,31,1031,IL23-2554,NA,subplot,B4I_2025_AL_1031_subplot_3,28,72,NA,15,45,NA,24,9,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,32,1032,IL23-267,NDP250049Y,plot,B4I_2025_AL_1032,25,75,25,16,46,16,15,10,1,125,119
B4I_2025_AL,2025,AL,1,1,1,32,1032,IL23-267,NA,subplot,B4I_2025_AL_1032_subplot_1,26,71,NA,14,47,NA,15,11,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,32,1032,IL23-267,NA,subplot,B4I_2025_AL_1032_subplot_2,25,64,NA,15,41,NA,9,10,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,32,1032,IL23-267,NA,subplot,B4I_2025_AL_1032_subplot_3,25,75,NA,16,46,NA,15,10,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,33,1033,IL23-4572,NDP250030Y,plot,B4I_2025_AL_1033,22,94,22,14,47,14,19,7,5,122,115
B4I_2025_AL,2025,AL,1,1,1,33,1033,IL23-4572,NA,subplot,B4I_2025_AL_1033_subplot_1,24,88,NA,18,37,NA,16,13,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,33,1033,IL23-4572,NA,subplot,B4I_2025_AL_1033_subplot_2,24,75,NA,18,50,NA,18,6,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,33,1033,IL23-4572,NA,subplot,B4I_2025_AL_1033_subplot_3,22,94,NA,14,47,NA,19,7,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,34,1034,IL17-3125,NDP250177Y,plot,B4I_2025_AL_1034,24,92,24,14,28,14,19,8,7,122,115
B4I_2025_AL,2025,AL,1,1,1,34,1034,IL17-3125,NA,subplot,B4I_2025_AL_1034_subplot_1,25,97,NA,13,35,NA,31,9,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,34,1034,IL17-3125,NA,subplot,B4I_2025_AL_1034_subplot_2,26,94,NA,14,35,NA,11,10,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,34,1034,IL17-3125,NA,subplot,B4I_2025_AL_1034_subplot_3,24,92,NA,14,28,NA,19,8,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,35,1035,IL23-3731,NDP150412G,plot,B4I_2025_AL_1035,27,82,27,15,53,15,18,8,5,125,119
B4I_2025_AL,2025,AL,1,1,1,35,1035,IL23-3731,NA,subplot,B4I_2025_AL_1035_subplot_1,24,85,NA,14,50,NA,30,8,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,35,1035,IL23-3731,NA,subplot,B4I_2025_AL_1035_subplot_2,24,80,NA,14,47,NA,18,4,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,35,1035,IL23-3731,NA,subplot,B4I_2025_AL_1035_subplot_3,27,82,NA,15,53,NA,18,8,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,36,1036,IL23-2034,NDP250050Y,plot,B4I_2025_AL_1036,20,76,20,20,47,20,16,10,6,125,119
B4I_2025_AL,2025,AL,1,1,1,36,1036,IL23-2034,NA,subplot,B4I_2025_AL_1036_subplot_1,24,73,NA,12,47,NA,21,8,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,36,1036,IL23-2034,NA,subplot,B4I_2025_AL_1036_subplot_2,23,75,NA,15,47,NA,13,11,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,36,1036,IL23-2034,NA,subplot,B4I_2025_AL_1036_subplot_3,20,76,NA,20,47,NA,16,10,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,37,1037,IL23-415,NDP170037G,plot,B4I_2025_AL_1037,23,85,23,19,52,19,20,6,6,125,119
B4I_2025_AL,2025,AL,1,1,1,37,1037,IL23-415,NA,subplot,B4I_2025_AL_1037_subplot_1,20,76,NA,18,51,NA,15,9,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,37,1037,IL23-415,NA,subplot,B4I_2025_AL_1037_subplot_2,23,87,NA,15,58,NA,16,4,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,37,1037,IL23-415,NA,subplot,B4I_2025_AL_1037_subplot_3,23,85,NA,19,52,NA,20,6,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,38,1038,IL22-3958,NDP170328G,plot,B4I_2025_AL_1038,25,90,25,18,46,18,18,8,3,122,115
B4I_2025_AL,2025,AL,1,1,1,38,1038,IL22-3958,NA,subplot,B4I_2025_AL_1038_subplot_1,29,99,NA,15,54,NA,18,9,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,38,1038,IL22-3958,NA,subplot,B4I_2025_AL_1038_subplot_2,20,95,NA,19,53,NA,16,11,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,38,1038,IL22-3958,NA,subplot,B4I_2025_AL_1038_subplot_3,25,90,NA,18,46,NA,18,8,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,39,1039,IL23-3337,NDP170084G,plot,B4I_2025_AL_1039,22,76,22,14,55,14,19,13,3,128,119
B4I_2025_AL,2025,AL,1,1,1,39,1039,IL23-3337,NA,subplot,B4I_2025_AL_1039_subplot_1,20,80,NA,11,40,NA,21,9,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,39,1039,IL23-3337,NA,subplot,B4I_2025_AL_1039_subplot_2,20,81,NA,15,46,NA,12,6,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,39,1039,IL23-3337,NA,subplot,B4I_2025_AL_1039_subplot_3,22,76,NA,14,55,NA,19,13,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,40,1040,IL23-1462,NDP250051Y,plot,B4I_2025_AL_1040,24,87,24,10,54,10,14,9,5,119,115
B4I_2025_AL,2025,AL,1,1,1,40,1040,IL23-1462,NA,subplot,B4I_2025_AL_1040_subplot_1,22,88,NA,15,55,NA,17,6,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,40,1040,IL23-1462,NA,subplot,B4I_2025_AL_1040_subplot_2,21,87,NA,11,62,NA,13,9,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,40,1040,IL23-1462,NA,subplot,B4I_2025_AL_1040_subplot_3,24,87,NA,10,54,NA,14,9,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,2,40,1041,IL23-3576,NDP250133G,plot,B4I_2025_AL_1041,23,82,23,18,48,18,14,4,8,122,115
