"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","germplasmEntryNumber","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Grain weight - g|CO_350:0005123","Grain yield - g/m2|CO_350:0000260","Heading date - Julian day|CO_350:0000270","Pea flowering date - Julian day|COMP:0000053","Pea grain weight - g|COMP:0000009","Pea grain yield - g/m2|COMP:0000049","Pea plant height - cm|COMP:0000010","Plant height - cm|CO_350:0000232","notes","SpringOatPeaIntercrop_2024_IL_AUSTRIAN FIELD PEAS","SpringOatPeaIntercrop_2024_IL_DS Admiral","SpringOatPeaIntercrop_2024_IL_Frostmaster Peas","SpringOatPeaIntercrop_2024_IL_Icicle Winter Peas","SpringOatPeaIntercrop_2024_IL_Maxum","SpringOatPeaIntercrop_2024_IL_ND Dawn","SpringOatPeaIntercrop_2024_IL_ND Victory","SpringOatPeaIntercrop_2024_IL_NDP140510Y","SpringOatPeaIntercrop_2024_IL_NDP150231Y","SpringOatPeaIntercrop_2024_IL_NDP150412G","SpringOatPeaIntercrop_2024_IL_Organic 4010","SpringOatPeaIntercrop_2024_IL_delta field pea"
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","499634","A10","A10","","plot","711459","SpringOatPeaIntercrop_2024_IL_108","1","3","108","4","8","test","","1514.9","370.27","144","145","808.2","126.628671911959","91.44","91.44","good (Operator: pthyde123, Time: )","","","","","","","1","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","510806","SD180580","SD180580","","plot","711498","SpringOatPeaIntercrop_2024_IL_109","1","3","109","4","9","test","","2685.26464","420.73","153","","","","","116.84","NA (Operator: pthyde123, Time: )","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","510819","MN18038X_008","MN-18038X-008,MN18038X-008,MN18038X008","","plot","711391","SpringOatPeaIntercrop_2024_IL_11","1","1","11","8","11","test","","1960.6","334.73","153","143","158.9","24.8964315352762","55.88","106.68","NA (Operator: pthyde123, Time: )","","","","","","1","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","510806","SD180580","SD180580","","plot","711379","SpringOatPeaIntercrop_2024_IL_110","1","3","110","4","10","test","","2034","415.04","153","146","596.1","93.396871228308","88.9","106.68","NA (Operator: pthyde123, Time: )","","","","","","","","","","","1",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","510817","OT2130","OT2130","","plot","711519","SpringOatPeaIntercrop_2024_IL_111","1","3","111","4","11","test","","2385.89392","373.82","158","","","","","106.68","NA (Operator: pthyde123, Time: )","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","510817","OT2130","OT2130","","plot","711555","SpringOatPeaIntercrop_2024_IL_112","1","3","112","4","12","test","","2084.6","397.28","158","144","388.4","60.8544619779816","66.04","106.68","NA (Operator: pthyde123, Time: )","","","","","","","","","1","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","202123","IL17-7339","17-7339","","plot","711388","SpringOatPeaIntercrop_2024_IL_113","1","3","113","4","13","test","","2443.1","444.89","153","143","377","59.0683114461871","66.04","91.44","good (Operator: pthyde123, Time: )","","","","","","1","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","202123","IL17-7339","17-7339","","plot","711467","SpringOatPeaIntercrop_2024_IL_114","1","3","114","4","14","test","","2916.59656","456.97","153","","","","","91.44","NA (Operator: pthyde123, Time: )","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","202018","IL17-1253","17-1253","","plot","711455","SpringOatPeaIntercrop_2024_IL_115","1","3","115","4","15","test","","2739.69568","429.26","149","","","","","106.68","NA (Operator: pthyde123, Time: )","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","202018","IL17-1253","17-1253","","plot","711396","SpringOatPeaIntercrop_2024_IL_116","1","3","116","4","16","test","","2664.7","452","149","157","207.2","32.4640693147214","111.76","106.68","NA (Operator: pthyde123, Time: )","","","","1","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","499632","A11","A11","","plot","711414","SpringOatPeaIntercrop_2024_IL_117","1","3","117","4","17","test","","1961.1","405.09","150","143","586.5","91.8927444646916","81.28","91.44","NA (Operator: pthyde123, Time: )","","","","","","","","1","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","499632","A11","A11","","plot","711442","SpringOatPeaIntercrop_2024_IL_118","1","3","118","4","18","test","","2481.14824","388.75","150","","","","","96.52","NA (Operator: pthyde123, Time: )","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","98592","BAKER","Baker,IA97105-3","","plot","711499","SpringOatPeaIntercrop_2024_IL_119","1","3","119","4","19","test","","2347","432.1","148","150","394.5","61.8102091923629","116.84","111.76","NA (Operator: pthyde123, Time: )","1","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","510819","MN18038X_008","MN-18038X-008,MN18038X-008,MN18038X008","","plot","711408","SpringOatPeaIntercrop_2024_IL_12","1","1","12","8","12","test","","2481.14824","388.75","155","","","","","111.76","NA (Operator: pthyde123, Time: )","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","98592","BAKER","Baker,IA97105-3","","plot","711495","SpringOatPeaIntercrop_2024_IL_120","1","3","120","4","20","test","","2834.95","444.18","148","","","","","116.84","NA (Operator: pthyde123, Time: )","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","85346","HORSEPOWER","Horsepower,SD081936","","plot","711460","SpringOatPeaIntercrop_2024_IL_121","1","3","121","4","21","test","","2380.9","415.04","148","142","247","38.6999281888812","71.12","106.68","NA (Operator: pthyde123, Time: )","","1","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","85346","HORSEPOWER","Horsepower,SD081936","","plot","711424","SpringOatPeaIntercrop_2024_IL_122","1","3","122","4","22","test","","2739.69568","429.26","148","","","","","106.68","NA (Operator: pthyde123, Time: )","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","202018","IL17-1253","17-1253","","plot","711492","SpringOatPeaIntercrop_2024_IL_123","1","3","123","4","23","check","","2242.6","456.26","149","142","548","85.8605694231048","81.28","101.6","NA (Operator: pthyde123, Time: )","","1","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","202018","IL17-1253","17-1253","","plot","711415","SpringOatPeaIntercrop_2024_IL_124","1","3","124","4","24","check","","2839.48592","444.89","149","","","","","101.6","NA (Operator: pthyde123, Time: )","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","202122","IL17-7334","17-7334","","plot","711530","SpringOatPeaIntercrop_2024_IL_125","1","3","125","4","25","test","","2716.9","494.64","149","142","425.1","66.6046132513903","71.12","91.44","NA (Operator: pthyde123, Time: )","","","","","","","","","","","","1"
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","202122","IL17-7334","17-7334","","plot","711485","SpringOatPeaIntercrop_2024_IL_126","1","3","126","3","25","test","","3016.3868","472.61","152","","","","","96.52","NA (Operator: pthyde123, Time: )","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","87885","HAYDEN","","","plot","711470","SpringOatPeaIntercrop_2024_IL_127","1","3","127","3","24","test","","2825.87816","442.76","153","","","","","116.84","NA (Operator: pthyde123, Time: )","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","87885","HAYDEN","","","plot","711536","SpringOatPeaIntercrop_2024_IL_128","1","3","128","3","23","test","","2461.1","439.21","152","143","317.9","49.8085310576734","71.12","111.76","NA (Operator: pthyde123, Time: )","","","","","","1","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","97939","SABER","CV-377,IL02-8658","","plot","711373","SpringOatPeaIntercrop_2024_IL_129","1","3","129","3","22","test","","2916.59656","456.97","149","","","","","106.68","NA (Operator: pthyde123, Time: )","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","510800","SD170935","SD170935","","plot","711514","SpringOatPeaIntercrop_2024_IL_13","1","1","13","8","13","test","","2109.6","377.38","155","145","273.5","42.8519447759474","55.88","127","NA (Operator: pthyde123, Time: )","","","","","","","","","1","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","97939","SABER","CV-377,IL02-8658","","plot","711463","SpringOatPeaIntercrop_2024_IL_130","1","3","130","3","21","test","","2432","452","148","147","437.3","68.5161076801528","86.36","106.68","NA (Operator: pthyde123, Time: )","","","","","","","1","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","510800","SD170935","SD170935","","plot","711497","SpringOatPeaIntercrop_2024_IL_131","1","3","131","3","20","test","","2703.40832","423.57","155","","","","","142.24","NA (Operator: pthyde123, Time: )","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","510800","SD170935","SD170935","","plot","711483","SpringOatPeaIntercrop_2024_IL_132","1","3","132","3","19","test","","2598.3","480.43","155","143","427.2","66.9336409809314","71.12","137.16","NA (Operator: pthyde123, Time: )","","","","","","","","","","1","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","499610","ND161488","ND161488","","plot","711454","SpringOatPeaIntercrop_2024_IL_133","1","3","133","3","18","test","","2082.3","416.46","150","150","551.6","86.424616959461","106.68","127","goodfrost (Operator: pthyde123, Time: )","","","1","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","499610","ND161488","ND161488","","plot","711545","SpringOatPeaIntercrop_2024_IL_134","1","3","134","3","17","test","","2476.61232","388.04","151","","","","","127","NA (Operator: pthyde123, Time: )","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","531142","SD191467","","","plot","711384","SpringOatPeaIntercrop_2024_IL_135","1","3","135","3","16","test","","2395.4","483.27","148","144","642.3","100.635481278212","76.2","116.84","NA (Operator: pthyde123, Time: )","","","","","","","","1","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","531142","SD191467","","","plot","711423","SpringOatPeaIntercrop_2024_IL_136","1","3","136","3","15","test","","3143.39256","492.51","148","","","","","116.84","NA (Operator: pthyde123, Time: )","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","100173","BUCKSKIN","Buckskin,IL 99-1338,IL99-1338","","plot","711427","SpringOatPeaIntercrop_2024_IL_137","1","3","137","3","14","test","","2352.7","420.73","148","143","319.7","50.0905548258515","71.12","101.6","NA (Operator: pthyde123, Time: )","","","","","","","","","","","","1"
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","100173","BUCKSKIN","Buckskin,IL 99-1338,IL99-1338","","plot","711374","SpringOatPeaIntercrop_2024_IL_138","1","3","138","3","13","test","","2481.14824","388.75","148","","","","","101.6","NA (Operator: pthyde123, Time: )","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","102599","LEGGETT","01RAT27,LEGGET,Leggett,Leggett (ck),OT2021,RL 1962,W00371","","plot","711538","SpringOatPeaIntercrop_2024_IL_139","1","3","139","3","12","test","","2404.0376","376.67","157","","","","","106.68","NA (Operator: pthyde123, Time: )","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","510800","SD170935","SD170935","","plot","711432","SpringOatPeaIntercrop_2024_IL_14","1","1","14","8","14","test","","2458.46864","385.19","155","","","","","132.08","NA (Operator: pthyde123, Time: )","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","102599","LEGGETT","01RAT27,LEGGET,Leggett,Leggett (ck),OT2021,RL 1962,W00371","","plot","711385","SpringOatPeaIntercrop_2024_IL_140","1","3","140","3","11","test","","2184.7","397.28","157","145","265.5","41.598505806267","66.04","106.68","NA (Operator: pthyde123, Time: )","","","","","","","","","1","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","510812","SADDLE","Saddle,SD120296","","plot","711522","SpringOatPeaIntercrop_2024_IL_141","1","3","141","3","10","test","","3265.8624","511.7","149","","","","","111.76","NA (Operator: pthyde123, Time: )","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","510812","SADDLE","Saddle,SD120296","","plot","711557","SpringOatPeaIntercrop_2024_IL_142","1","3","142","3","9","test","","3216.4","530.88","148","158","122.9","19.2559561717146","101.6","111.76","NA (Operator: pthyde123, Time: )","","","","1","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","97779","OGLE","03C0700697,IL 73-2664,IL73-2664,Illinois 73-2664,Ogle,OGLE (ck),RL 1475,TLVA5829,TLVA5908,W87678","","plot","711381","SpringOatPeaIntercrop_2024_IL_143","1","3","143","3","8","test","","2648.97728","415.04","151","","","","","121.92","NA (Operator: pthyde123, Time: )","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","97779","OGLE","03C0700697,IL 73-2664,IL73-2664,Illinois 73-2664,Ogle,OGLE (ck),RL 1475,TLVA5829,TLVA5908,W87678","","plot","711477","SpringOatPeaIntercrop_2024_IL_144","1","3","144","3","7","test","","2442.3","439.92","149","142","340.4","53.3338281598994","81.28","116.84","NA (Operator: pthyde123, Time: )","","1","","","","","","","","","",""
