studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,Above ground dry biomass - g|day 157|COMP:0000019,Above ground dry biomass - g|day 172|COMP:0000020,Above ground dry biomass - g|day 192|COMP:0000021,Above ground dry biomass - g|day 214|COMP:0000022,Ear emergence|day 164|COMP:0000014,Ear emergence|day 171|COMP:0000015,Grain weight - g|day 221|COMP:0000029,Grain yield - g/m2|CO_350:0000260,Lodging severity - 0-9 Rating|day 181|COMP:0000016,Lodging severity - 0-9 Rating|day 186|COMP:0000017,Lodging severity - 0-9 Rating|day 221|COMP:0000018,Oat maturity - %|day 191|COMP:0000011,Oat maturity - %|day 200|COMP:0000012,Oat maturity - %|day 206|COMP:0000013,Pea above ground dry biomass - g|day 157|COMP:0000031,Pea above ground dry biomass - g|day 172|COMP:0000032,Pea above ground dry biomass - g|day 192|COMP:0000033,Pea above ground dry biomass - g|day 214|COMP:0000034,Pea flowering - y/n|day 164|COMP:0000035,Pea flowering - y/n|day 171|COMP:0000036,Pea fruiting - y/n|day 171|COMP:0000037,Pea grain weight - g|day 221|COMP:0000038,Pea grain yield - g/m2|COMP:0000049,Pea maturity - %|day 191|COMP:0000046,Pea maturity - %|day 200|COMP:0000047,Pea maturity - %|day 206|COMP:0000048,Pea plant establishment - plants/m2|day 153|COMP:0000045,Pea plant height - cm|day 164|COMP:0000040,Pea plant height - cm|day 180|COMP:0000041,Pea plant height - cm|day 186|COMP:0000042,Pea plant height - cm|day 200|COMP:0000043,Pea plant height - cm|day 208|COMP:0000044,Plant establishment - plants/m2|day 153|COMP:0000028,Plant height - cm|day 164|COMP:0000023,Plant height - cm|day 180|COMP:0000024,Plant height - cm|day 186|COMP:0000025,Plant height - cm|day 200|COMP:0000026,Plant height - cm|day 208|COMP:0000027,notes,Cornell_OatPeaIntercropPilot_2023_Ithaca_pea_genotype_AUSTRIAN FIELD PEAS,Cornell_OatPeaIntercropPilot_2023_Ithaca_pea_genotype_DS Admiral,Cornell_OatPeaIntercropPilot_2023_Ithaca_pea_genotype_Frostmaster Peas,Cornell_OatPeaIntercropPilot_2023_Ithaca_pea_genotype_Icicle Winter Peas,Cornell_OatPeaIntercropPilot_2023_Ithaca_pea_genotype_Maxum,Cornell_OatPeaIntercropPilot_2023_Ithaca_pea_genotype_ND Dawn,Cornell_OatPeaIntercropPilot_2023_Ithaca_pea_genotype_ND Victory,Cornell_OatPeaIntercropPilot_2023_Ithaca_pea_genotype_NDP140510Y,Cornell_OatPeaIntercropPilot_2023_Ithaca_pea_genotype_NDP150231Y,Cornell_OatPeaIntercropPilot_2023_Ithaca_pea_genotype_NDP150412G,Cornell_OatPeaIntercropPilot_2023_Ithaca_pea_genotype_Organic 4010,Cornell_OatPeaIntercropPilot_2023_Ithaca_pea_genotype_delta field pea
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",108381,EXCEL,Excel,subplot,701345,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_11_subplot_1,1,1,11,1,11,test,,,40,,,,,,,,,,,,,,52.9,,,,,,,,,,,39.68253968,50,100,105,99,94,119.047619,40,73,70,69,72,,,,,,,,1,,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",108381,EXCEL,Excel,subplot,701346,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_11_subplot_2,1,1,11,1,11,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.3015873,60,105,100,100,100,198.4126984,50,71,70,73,66,,,,,,,,1,,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",108381,EXCEL,Excel,subplot,701347,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_11_subplot_3,1,1,11,1,11,test,,,,,100,,,,,,,,,,,,,,207.8,,,,,,,,,55.55555556,60,98,100,95,99,198.4126984,45,70,75,71,58,,,,,,,,1,,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",510798,SD181237,SD181237,plot,548267,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_12,1,1,12,1,12,test,,,,,,0,1,245.8,108.377425,0,0,0,0,60,90,,,,,1,1,0,246.8,108.8183422,60,100,100,,,,,,,,,,,,," (Operator: dwaring87, Time: )",,,,,,1,,,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",510798,SD181237,SD181237,subplot,701411,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_12_subplot_1,1,1,12,1,12,test,,,35.2,,,,,,,,,,,,,,74.8,,,,,,,,,,,47.61904762,40,72,60,60,65,134.9206349,60,95,105,102,107,,,,,,,1,,,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",510798,SD181237,SD181237,subplot,701412,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_12_subplot_2,1,1,12,1,12,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.68253968,50,72,60,73,75,166.6666667,50,92,100,100,101,,,,,,,1,,,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",510798,SD181237,SD181237,subplot,701413,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_12_subplot_3,1,1,12,1,12,test,,,,57.9,,,,,,,,,,,,,,120.6,,,,,,,,,,47.61904762,45,63,55,70,77,150.7936508,45,84,90,89,99,,,,,,,1,,,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",202106,IL17-5238,17-5238,plot,548205,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_13,1,1,13,1,13,test,,,,,,1,1,117,51.58730159,2,2,7,75,90,100,,,,,0,1,0,237.3,104.6296296,15,40,100,,,,,,,,,,,,," (Operator: dwaring87, Time: )",,,,,,,,,,,1,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",202106,IL17-5238,17-5238,subplot,701471,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_13_subplot_1,1,1,13,1,13,test,,,,84.6,,,,,,,,,,,,,,147.2,,,,,,,,,,31.74603175,45,100,100,68,42,166.6666667,45,70,50,61,58,,,,,,,,,,,,1,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",202106,IL17-5238,17-5238,subplot,701472,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_13_subplot_2,1,1,13,1,13,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.74603175,40,110,110,96,92,285.7142857,45,72,70,67,64,,,,,,,,,,,,1,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",202106,IL17-5238,17-5238,subplot,701473,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_13_subplot_3,1,1,13,1,13,test,,18.4,,,,,,,,,,,,,,15.3,,,,,,,,,,,,31.74603175,55,107,105,64,37,111.1111111,40,61,65,34,14,,,,,,,,,,,,1,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",202026,IL17-1704,17-1704,plot,548240,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_14,1,1,14,1,14,test,,,,,,1,1,151,66.57848325,0,0,0,0,80,95,,,,,1,1,1,369.4,162.8747795,30,100,100,,,,,,,,,,,,," (Operator: dwaring87, Time: )",,,,,,,,,,,,1
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",202026,IL17-1704,17-1704,subplot,701468,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_14_subplot_1,1,1,14,1,14,test,,,,46.1,,,,,,,,,,,,,,117.1,,,,,,,,,,63.49206349,48,66,60,63,55,119.047619,40,68,65,73,72,,,,,,,,,,,,,1
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",202026,IL17-1704,17-1704,subplot,701469,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_14_subplot_2,1,1,14,1,14,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.61904762,45,80,80,73,81,95.23809524,45,80,90,70,79,,,,,,,,,,,,,1
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",202026,IL17-1704,17-1704,subplot,701470,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_14_subplot_3,1,1,14,1,14,test,,,24,,,,,,,,,,,,,,83,,,,,,,,,,,31.74603175,45,75,60,71,75,119.047619,35,75,80,69,72,,,,,,,,,,,,,1
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",499632,A11,A11,plot,548247,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_15,1,1,15,1,15,test,,,,,,0,1,98.7,43.51851852,0,0,0,0,90,95,,,,,1,1,1,341.1,150.3968254,0,95,100,,,,,,,,,,,,," (Operator: dwaring87, Time: )",,,,,,,,1,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",499632,A11,A11,subplot,701252,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_15_subplot_1,1,1,15,1,15,test,,13,,,,,,,,,,,,,,12.6,,,,,,,,,,,,31.74603175,50,77,75,74,68,190.4761905,40,65,60,60,55,,,,,,,,,1,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",499632,A11,A11,subplot,701253,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_15_subplot_2,1,1,15,1,15,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.55555556,45,73,70,71,72,230.1587302,40,65,70,66,70,,,,,,,,,1,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",499632,A11,A11,subplot,701254,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_15_subplot_3,1,1,15,1,15,test,,,,,43,,,,,,,,,,,,,,110.7,,,,,,,,,39.68253968,50,74,75,72,77,198.4126984,45,63,60,64,51,,,,,,,,,1,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",102120,WARRIOR,SD120419,plot,548269,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_16,1,1,16,1,16,test,,,,,,1,1,58.8,25.92592593,0,0,0,10,50,95,,,,,0,1,0,383.9,169.2680776,0,60,95,,,,,,,,,,,,," (Operator: dwaring87, Time: )",,,,,,,1,,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",102120,WARRIOR,SD120419,subplot,701432,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_16_subplot_1,1,1,16,1,16,test,,,51.1,,,,,,,,,,,,,,61.4,,,,,,,,,,,79.36507937,55,100,100,91,83,166.6666667,45,71,70,72,71,,,,,,,,1,,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",102120,WARRIOR,SD120419,subplot,701433,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_16_subplot_2,1,1,16,1,16,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.55555556,45,95,90,94,96,142.8571429,50,65,60,72,65,,,,,,,,1,,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",102120,WARRIOR,SD120419,subplot,701434,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_16_subplot_3,1,1,16,1,16,test,,,,54.3,,,,,,,,,,,,,,150.9,,,,,,,,,,47.61904762,60,100,100,90,86,158.7301587,45,65,60,69,53,,,,,,,,1,,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",499610,ND161488,ND161488,plot,548203,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_17,1,1,17,1,17,test,,,,,,0,1,1.3,0.57319224,5,3,9,0,60,95,,,,,0,1,0,322.9,142.372134,0,50,90,,,,,,,,,,,,," (Operator: dwaring87, Time: )",,,,,1,,,,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",499610,ND161488,ND161488,subplot,701237,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_17_subplot_1,1,1,17,1,17,test,,,,,36.5,,,,,,,,,,,,,,321.4,,,,,,,,,23.80952381,55,77,75,56,48,134.9206349,40,60,40,17,9,,,,,,1,,,,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",499610,ND161488,ND161488,subplot,701238,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_17_subplot_2,1,1,17,1,17,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.68253968,65,99,80,60,57,134.9206349,55,47,10,22,7,,,,,,1,,,,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",499610,ND161488,ND161488,subplot,701239,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_17_subplot_3,1,1,17,1,17,test,,,26.8,,,,,,,,,,,,,,103.4,,,,,,,,,,,31.74603175,65,79,70,48,39,166.6666667,55,75,20,39,16,,,,,,1,,,,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",499634,A10,A10,plot,548258,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_18,1,1,18,1,18,test,,,,,,1,1,71.1,31.34920635,1,0,0,40,90,95,,,,,1,1,1,333.4,147.0017637,65,100,100,,,,,,,,,,,,," (Operator: dwaring87, Time: )",,,,,,,,,,1,,
