"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","intercropGermplasmDbId","intercropGermplasmName","germplasmEntryNumber","Heading date - Julian day|CO_350:0000270","Lodging severity - 0-9 Rating|CO_350:0005007","Pea Flowering Date - 10% - Julian Day|CO_xxx:0003014","Pea Plant Establishment - plants/ft2|CO_xxx:0003011","Pea Plant Height - cm|CO_xxx:0003005","Pea Plant Height - cm|timepoint 1|COMP:0000122","Pea Plant Height - cm|timepoint 2|COMP:0000123","Plant establishment - plants/ft2|CO_350:0005124","Plant height - cm|CO_350:0000232","Plant height - cm|timepoint 1|COMP:0000114","Plant height - cm|timepoint 2|COMP:0000115","notes"
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704726","IL23-2956","IL23-2956","subplot","735559","B4I_2025_AL_1003_subplot_2","1","1","1003","1","3","test","","","","","","","","3","","19","45","9","","24","73",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704726","IL23-2956","IL23-2956","subplot","735560","B4I_2025_AL_1003_subplot_3","1","1","1003","1","3","test","","","","","","","","6","","21","46","17","","21","74",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704619","IL23-1650","IL23-1650","plot","733638","B4I_2025_AL_1004","1","1","1004","1","4","test","","733312","NDP250127Y","","119","0","115","5","19","19","36","7","24","24","68",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704619","IL23-1650","IL23-1650","subplot","736431","B4I_2025_AL_1004_subplot_1","1","1","1004","1","4","test","","","","","","","","3","","22","36","12","","24","71",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704619","IL23-1650","IL23-1650","subplot","736432","B4I_2025_AL_1004_subplot_2","1","1","1004","1","4","test","","","","","","","","5","","22","35","11","","24","64",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704619","IL23-1650","IL23-1650","subplot","736433","B4I_2025_AL_1004_subplot_3","1","1","1004","1","4","test","","","","","","","","5","","19","36","7","","24","68",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704449","IL23-723","IL23-723","plot","733732","B4I_2025_AL_1005","1","1","1005","1","5","test","","733507","NDP250049Y","","125","0","119","3","17","17","41","11","31","31","77",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704449","IL23-723","IL23-723","subplot","735936","B4I_2025_AL_1005_subplot_1","1","1","1005","1","5","test","","","","","","","","3","","22","41","7","","29","72",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704449","IL23-723","IL23-723","subplot","735937","B4I_2025_AL_1005_subplot_2","1","1","1005","1","5","test","","","","","","","","5","","18","46","9","","28","82",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704449","IL23-723","IL23-723","subplot","735938","B4I_2025_AL_1005_subplot_3","1","1","1005","1","5","test","","","","","","","","3","","17","41","11","","31","77",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704703","IL23-1209","IL23-1209","plot","733736","B4I_2025_AL_1006","1","1","1006","1","6","test","","733400","NDP160188Y","","125","4","119","5","21","21","45","12","26","26","76",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704703","IL23-1209","IL23-1209","subplot","736629","B4I_2025_AL_1006_subplot_1","1","1","1006","1","6","test","","","","","","","","8","","20","42","10","","26","74",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704703","IL23-1209","IL23-1209","subplot","736630","B4I_2025_AL_1006_subplot_2","1","1","1006","1","6","test","","","","","","","","4","","23","40","8","","24","66",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704703","IL23-1209","IL23-1209","subplot","736631","B4I_2025_AL_1006_subplot_3","1","1","1006","1","6","test","","","","","","","","5","","21","45","12","","26","76",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704732","IL23-1206","IL23-1206","plot","733581","B4I_2025_AL_1007","1","1","1007","1","7","test","","733459","NDP170052G","","128","4","119","3","20","20","56","11","26","26","79",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704732","IL23-1206","IL23-1206","subplot","735801","B4I_2025_AL_1007_subplot_1","1","1","1007","1","7","test","","","","","","","","4","","20","45","10","","27","62",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704732","IL23-1206","IL23-1206","subplot","735802","B4I_2025_AL_1007_subplot_2","1","1","1007","1","7","test","","","","","","","","2","","18","46","10","","24","65",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704732","IL23-1206","IL23-1206","subplot","735803","B4I_2025_AL_1007_subplot_3","1","1","1007","1","7","test","","","","","","","","3","","20","56","11","","26","79",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","530955","IL21-8143","","plot","733889","B4I_2025_AL_1008","1","1","1008","1","8","test","","733504","NDP250164Y","","119","2","115","4","18","18","39","5","25","25","70",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","530955","IL21-8143","","subplot","736401","B4I_2025_AL_1008_subplot_1","1","1","1008","1","8","test","","","","","","","","5","","14","42","12","","22","71",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","530955","IL21-8143","","subplot","736402","B4I_2025_AL_1008_subplot_2","1","1","1008","1","8","test","","","","","","","","6","","19","44","7","","24","72",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","530955","IL21-8143","","subplot","736403","B4I_2025_AL_1008_subplot_3","1","1","1008","1","8","test","","","","","","","","4","","18","39","5","","25","70",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704685","IL23-3655","IL23-3655","plot","733661","B4I_2025_AL_1009","1","1","1009","1","9","test","","733401","NDP250040Y","","122","4","115","7","17","17","47","13","28","28","84",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704685","IL23-3655","IL23-3655","subplot","735567","B4I_2025_AL_1009_subplot_1","1","1","1009","1","9","test","","","","","","","","4","","18","43","8","","26","76",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704685","IL23-3655","IL23-3655","subplot","735568","B4I_2025_AL_1009_subplot_2","1","1","1009","1","9","test","","","","","","","","7","","14","37","13","","21","82",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704685","IL23-3655","IL23-3655","subplot","735569","B4I_2025_AL_1009_subplot_3","1","1","1009","1","9","test","","","","","","","","7","","17","47","13","","28","84",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704842","IL23-1669","IL23-1669","plot","733853","B4I_2025_AL_1010","1","1","1010","1","10","test","","733474","NDP250093Y","","122","6","115","3","14","14","51","9","25","25","78",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704842","IL23-1669","IL23-1669","subplot","736335","B4I_2025_AL_1010_subplot_1","1","1","1010","1","10","test","","","","","","","","3","","22","52","10","","24","81",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704842","IL23-1669","IL23-1669","subplot","736336","B4I_2025_AL_1010_subplot_2","1","1","1010","1","10","test","","","","","","","","6","","19","50","8","","25","78",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704842","IL23-1669","IL23-1669","subplot","736337","B4I_2025_AL_1010_subplot_3","1","1","1010","1","10","test","","","","","","","","3","","14","51","9","","25","78",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704924","IL23-3576","IL23-3576","plot","733518","B4I_2025_AL_1011","1","1","1011","1","11","test","","733399","NDP250095Y","","122","8","115","5","18","18","30","10","22","22","73",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704924","IL23-3576","IL23-3576","subplot","735819","B4I_2025_AL_1011_subplot_1","1","1","1011","1","11","test","","","","","","","","5","","20","46","10","","26","82",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704924","IL23-3576","IL23-3576","subplot","735820","B4I_2025_AL_1011_subplot_2","1","1","1011","1","11","test","","","","","","","","8","","21","42","17","","24","65",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704924","IL23-3576","IL23-3576","subplot","735821","B4I_2025_AL_1011_subplot_3","1","1","1011","1","11","test","","","","","","","","5","","18","30","10","","22","73",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","530981","IL21-7653","","plot","733729","B4I_2025_AL_1012","1","1","1012","1","12","test","","733325","NDP250163Y","","115","5","115","8","22","22","62","9","27","27","81",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","530981","IL21-7653","","subplot","736110","B4I_2025_AL_1012_subplot_1","1","1","1012","1","12","test","","","","","","","","3","","17","54","10","","23","76",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","530981","IL21-7653","","subplot","736111","B4I_2025_AL_1012_subplot_2","1","1","1012","1","12","test","","","","","","","","4","","19","42","11","","25","65",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","530981","IL21-7653","","subplot","736112","B4I_2025_AL_1012_subplot_3","1","1","1012","1","12","test","","","","","","","","8","","22","62","9","","27","81",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704917","IL23-1450","IL23-1450","plot","733633","B4I_2025_AL_1013","1","1","1013","1","13","test","","733454","NDP150412G","","119","8","115","8","15","15","44","16","23","23","77",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704917","IL23-1450","IL23-1450","subplot","736461","B4I_2025_AL_1013_subplot_1","1","1","1013","1","13","test","","","","","","","","6","","14","50","6","","24","79",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704917","IL23-1450","IL23-1450","subplot","736462","B4I_2025_AL_1013_subplot_2","1","1","1013","1","13","test","","","","","","","","3","","14","41","10","","26","80",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704917","IL23-1450","IL23-1450","subplot","736463","B4I_2025_AL_1013_subplot_3","1","1","1013","1","13","test","","","","","","","","8","","15","44","16","","23","77",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704823","IL23-1815","IL23-1815","plot","733827","B4I_2025_AL_1014","1","1","1014","1","14","test","","733319","NDP250148G","","125","5","119","6","20","20","64","4","25","25","79",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704823","IL23-1815","IL23-1815","subplot","736035","B4I_2025_AL_1014_subplot_1","1","1","1014","1","14","test","","","","","","","","6","","22","52","16","","20","80",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704823","IL23-1815","IL23-1815","subplot","736036","B4I_2025_AL_1014_subplot_2","1","1","1014","1","14","test","","","","","","","","7","","18","57","9","","21","79",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704823","IL23-1815","IL23-1815","subplot","736037","B4I_2025_AL_1014_subplot_3","1","1","1014","1","14","test","","","","","","","","6","","20","64","4","","25","79",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704866","IL23-1423","IL23-1423","plot","733665","B4I_2025_AL_1015","1","1","1015","1","15","test","","733332","NDP170008G","","119","6","115","4","21","21","50","7","24","24","82",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704866","IL23-1423","IL23-1423","subplot","736314","B4I_2025_AL_1015_subplot_1","1","1","1015","1","15","test","","","","","","","","5","","19","53","15","","26","82",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704866","IL23-1423","IL23-1423","subplot","736315","B4I_2025_AL_1015_subplot_2","1","1","1015","1","15","test","","","","","","","","1","","21","43","12","","25","81",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704866","IL23-1423","IL23-1423","subplot","736316","B4I_2025_AL_1015_subplot_3","1","1","1015","1","15","test","","","","","","","","4","","21","50","7","","24","82",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704612","IL23-1459","IL23-1459","plot","733790","B4I_2025_AL_1016","1","1","1016","1","16","test","","733277","NDP170089G","","119","6","115","3","17","17","56","14","24","24","77",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704612","IL23-1459","IL23-1459","subplot","735636","B4I_2025_AL_1016_subplot_1","1","1","1016","1","16","test","","","","","","","","3","","15","38","5","","24","79",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704612","IL23-1459","IL23-1459","subplot","735637","B4I_2025_AL_1016_subplot_2","1","1","1016","1","16","test","","","","","","","","7","","17","46","13","","22","85",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704612","IL23-1459","IL23-1459","subplot","735638","B4I_2025_AL_1016_subplot_3","1","1","1016","1","16","test","","","","","","","","3","","17","56","14","","24","77",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704630","IL23-739","IL23-739","plot","733593","B4I_2025_AL_1017","1","1","1017","1","17","test","","733283","NDP250086Y","","125","1","119","7","19","19","57","11","23","23","91",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704630","IL23-739","IL23-739","subplot","736158","B4I_2025_AL_1017_subplot_1","1","1","1017","1","17","test","","","","","","","","5","","20","49","10","","25","77",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704630","IL23-739","IL23-739","subplot","736159","B4I_2025_AL_1017_subplot_2","1","1","1017","1","17","test","","","","","","","","6","","22","46","11","","26","79",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704630","IL23-739","IL23-739","subplot","736160","B4I_2025_AL_1017_subplot_3","1","1","1017","1","17","test","","","","","","","","7","","19","57","11","","23","91",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704779","IL23-810","IL23-810","plot","733798","B4I_2025_AL_1018","1","1","1018","1","18","test","","733385","NDP121711R","","128","8","119","3","12","12","40","11","22","22","65",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704779","IL23-810","IL23-810","subplot","736059","B4I_2025_AL_1018_subplot_1","1","1","1018","1","18","test","","","","","","","","5","","12","45","19","","23","65",""
