"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","germplasmEntryNumber","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Above ground dry biomass - g|day 154|COMP:0000067","Above ground dry biomass - g|day 178|COMP:0000068","Above ground dry biomass - g|day 199|COMP:0000069","Above ground dry biomass - g|day 217|COMP:0000070","Grain weight - g|CO_350:0005123","Grain yield - g/m2|CO_350:0000260","Lodging severity - 0-9 Rating|CO_350:0005007","Pea above ground dry biomass - g|day 154|COMP:0000083","Pea above ground dry biomass - g|day 178|COMP:0000084","Pea above ground dry biomass - g|day 199|COMP:0000085","Pea above ground dry biomass - g|day 217|COMP:0000086","Pea grain weight - g|COMP:0000009","Pea grain yield - g/m2|COMP:0000049","Pea plant establishment - plants/ft2|COMP:0000052","Pea plant height - cm|day 151|COMP:0000087","Pea plant height - cm|day 176|COMP:0000088","Pea plant height - cm|day 196|COMP:0000089","Pea plant height - cm|day 214|COMP:0000090","Plant establishment - plants/ft2|CO_350:0005124","Plant height - cm|day 151|COMP:0000075","Plant height - cm|day 176|COMP:0000076","Plant height - cm|day 196|COMP:0000077","Plant height - cm|day 214|COMP:0000078","Weed above ground dry biomass - g|day 154|COMP:0000079","Weed above ground dry biomass - g|day 178|COMP:0000080","Weed above ground dry biomass - g|day 199|COMP:0000081","Weed above ground dry biomass - g|day 217|COMP:0000082","notes","SpringOatPeaIntercrop_2024_NY_AUSTRIAN FIELD PEAS","SpringOatPeaIntercrop_2024_NY_DS Admiral","SpringOatPeaIntercrop_2024_NY_Frostmaster Peas","SpringOatPeaIntercrop_2024_NY_Icicle Winter Peas","SpringOatPeaIntercrop_2024_NY_Maxum","SpringOatPeaIntercrop_2024_NY_ND Dawn","SpringOatPeaIntercrop_2024_NY_ND Victory","SpringOatPeaIntercrop_2024_NY_NDP140510Y","SpringOatPeaIntercrop_2024_NY_NDP150231Y","SpringOatPeaIntercrop_2024_NY_NDP150412G","SpringOatPeaIntercrop_2024_NY_Organic 4010","SpringOatPeaIntercrop_2024_NY_delta field pea"
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","98469","COLT","2015,Colt,Colt (RPB 50-75),GBR005 02015,GBR011 2015,POL003 50434,RPB 5075,SD020883-29","","plot","711300","SpringOatPeaIntercrop_2024_NY_102","1","3","102","1","12","test","","","","","","153","55","1","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","98469","COLT","2015,Colt,Colt (RPB 50-75),GBR005 02015,GBR011 2015,POL003 50434,RPB 5075,SD020883-29","","subplot","714217","SpringOatPeaIntercrop_2024_NY_102_subplot_1","1","3","102","1","12","test","","","","242.9","","","","","","","0","","","","0","0","0","0","0","39","30","90","101","96","","","153.7","","","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","98469","COLT","2015,Colt,Colt (RPB 50-75),GBR005 02015,GBR011 2015,POL003 50434,RPB 5075,SD020883-29","","subplot","714219","SpringOatPeaIntercrop_2024_NY_102_subplot_2","1","3","102","1","12","test","","","","","","","","","","","","","","","0","0","0","0","0","24","23","89","98","104","","","","","","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","98469","COLT","2015,Colt,Colt (RPB 50-75),GBR005 02015,GBR011 2015,POL003 50434,RPB 5075,SD020883-29","","subplot","714221","SpringOatPeaIntercrop_2024_NY_102_subplot_3","1","3","102","1","12","test","","","170.1","","","","","","","0","","","","","0","0","0","0","0","28","22","91","92","97","","107.2","","","","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","87218","SPURS","IL 95-1241,IL95-1241,IL951241,Spurs","","plot","711222","SpringOatPeaIntercrop_2024_NY_103","1","3","103","1","13","test","","","","","","146","50","2","","","","","39","14","","","","","","","","","","","","","","","","","","","","","","","","","","1",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","87218","SPURS","IL 95-1241,IL95-1241,IL951241,Spurs","","subplot","713847","SpringOatPeaIntercrop_2024_NY_103_subplot_1","1","3","103","1","13","test","","31.1","","","","","","","4","","","","","","1","19","90","96","96","20","26","86","99","98","11.1","","","","","","","","","","","","","","","1",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","87218","SPURS","IL 95-1241,IL95-1241,IL951241,Spurs","","subplot","713849","SpringOatPeaIntercrop_2024_NY_103_subplot_2","1","3","103","1","13","test","","","","","","","","","","","","","","","5","22","91","76","92","32","28","84","97","97","","","","","","","","","","","","","","","","1",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","87218","SPURS","IL 95-1241,IL95-1241,IL951241,Spurs","","subplot","713851","SpringOatPeaIntercrop_2024_NY_103_subplot_3","1","3","103","1","13","test","","","","289.8","","","","","","","123.5","","","","5","20","88","86","95","24","27","84","85","100","","","95.1","","","","","","","","","","","","","1",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","87218","SPURS","IL 95-1241,IL95-1241,IL951241,Spurs","","plot","711332","SpringOatPeaIntercrop_2024_NY_104","1","3","104","1","14","test","","","","","","357","111","2","","","","","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","87218","SPURS","IL 95-1241,IL95-1241,IL951241,Spurs","","subplot","714299","SpringOatPeaIntercrop_2024_NY_104_subplot_1","1","3","104","1","14","test","","34.8","","","","","","","0","","","","","","0","0","0","0","0","24","25","89","97","95","10.4","","","","","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","87218","SPURS","IL 95-1241,IL95-1241,IL951241,Spurs","","subplot","714301","SpringOatPeaIntercrop_2024_NY_104_subplot_2","1","3","104","1","14","test","","","","","","","","","","","","","","","0","0","0","0","0","20","23","88","98","98","","","","","","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","87218","SPURS","IL 95-1241,IL95-1241,IL951241,Spurs","","subplot","714303","SpringOatPeaIntercrop_2024_NY_104_subplot_3","1","3","104","1","14","test","","","","257.1","","","","","","","0","","","","0","0","0","0","0","8","24","86","106","101","","","161.9","","","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","201461","WI_X10710-7","WI X10710-7,WIX10710-7,X10710-7","","plot","711190","SpringOatPeaIntercrop_2024_NY_105","1","3","105","1","15","test","","","","","","472","127","2","","","","","48","13","","","","","","","","","","","","","","","","","1","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","201461","WI_X10710-7","WI X10710-7,WIX10710-7,X10710-7","","subplot","713724","SpringOatPeaIntercrop_2024_NY_105_subplot_1","1","3","105","1","15","test","","","219.4","","","","","","","25.2","","","","","3","17","57","55","61","16","24","80","100","106","","95.8","","","","","1","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","201461","WI_X10710-7","WI X10710-7,WIX10710-7,X10710-7","","subplot","713726","SpringOatPeaIntercrop_2024_NY_105_subplot_2","1","3","105","1","15","test","","","","","","","","","","","","","","","3","18","64","63","97","28","23","84","96","101","","","","","","","1","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","201461","WI_X10710-7","WI X10710-7,WIX10710-7,X10710-7","","subplot","713728","SpringOatPeaIntercrop_2024_NY_105_subplot_3","1","3","105","1","15","test","","","","195.2","","","","","","","48.2","","","","8","18","75","73","69","27","26","94","103","109","","","163.3","","","","1","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","201461","WI_X10710-7","WI X10710-7,WIX10710-7,X10710-7","","plot","711265","SpringOatPeaIntercrop_2024_NY_106","1","3","106","1","16","test","","","","","","322","116","1","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","201461","WI_X10710-7","WI X10710-7,WIX10710-7,X10710-7","","subplot","713919","SpringOatPeaIntercrop_2024_NY_106_subplot_1","1","3","106","1","16","test","","","257.2","","","","","","","0","","","","","0","0","0","0","0","22","25","74","98","98","","48","","","","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","201461","WI_X10710-7","WI X10710-7,WIX10710-7,X10710-7","","subplot","713921","SpringOatPeaIntercrop_2024_NY_106_subplot_2","1","3","106","1","16","test","","","","","","","","","","","","","","","0","0","0","0","0","21","23","78","97","94","","","","","","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","201461","WI_X10710-7","WI X10710-7,WIX10710-7,X10710-7","","subplot","713923","SpringOatPeaIntercrop_2024_NY_106_subplot_3","1","3","106","1","16","test","","","","240.9","","","","","","","0","","","","0","0","0","0","0","10","22","77","96","105","","","218.1","","","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","202123","IL17-7339","17-7339","","plot","711250","SpringOatPeaIntercrop_2024_NY_107","1","3","107","1","17","test","","","","","","129","49","1","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","202123","IL17-7339","17-7339","","subplot","713973","SpringOatPeaIntercrop_2024_NY_107_subplot_1","1","3","107","1","17","test","","","","294.6","","","","","","","0","","","","0","0","0","0","0","34","25","75","75","87","","","126.7","","","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","202123","IL17-7339","17-7339","","subplot","713975","SpringOatPeaIntercrop_2024_NY_107_subplot_2","1","3","107","1","17","test","","","","","","","","","","","","","","","0","0","0","0","0","17","22","71","84","97","","","","","","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","202123","IL17-7339","17-7339","","subplot","713977","SpringOatPeaIntercrop_2024_NY_107_subplot_3","1","3","107","1","17","test","","","222.6","","","","","","","0","","","","","0","0","0","0","0","29","24","73","78","90","","55.8","","","","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","202123","IL17-7339","17-7339","","plot","711206","SpringOatPeaIntercrop_2024_NY_108","1","3","108","1","18","test","","","","","","99","37","3","","","","","16","6","","","","","","","","","","","","","","","","","","","","","","1","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","202123","IL17-7339","17-7339","","subplot","713666","SpringOatPeaIntercrop_2024_NY_108_subplot_1","1","3","108","1","18","test","","","","364.2","","","","","","","7","","","","5","15","56","57","78","60","30","74","76","86","","","95.8","","","","","","","","","1","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","202123","IL17-7339","17-7339","","subplot","713668","SpringOatPeaIntercrop_2024_NY_108_subplot_2","1","3","108","1","18","test","","","","","","","","","","","","","","","6","15","65","61","75","22","23","75","84","95","","","","","","","","","","","","1","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","202123","IL17-7339","17-7339","","subplot","713670","SpringOatPeaIntercrop_2024_NY_108_subplot_3","1","3","108","1","18","test","","","162.6","","","","","","","16.7","","","","","2","16","69","67","71","19","23","80","81","83","","116.3","","","","","","","","","","1","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","97939","SABER","CV-377,IL02-8658","","plot","711342","SpringOatPeaIntercrop_2024_NY_109","1","3","109","1","19","test","","","","","","113","38","0","","","","","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","97939","SABER","CV-377,IL02-8658","","subplot","714561","SpringOatPeaIntercrop_2024_NY_109_subplot_1","1","3","109","1","19","test","","","","244.6","","","","","","","0","","","","0","0","0","0","0","12","23","94","93","105","","","225.9","","","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","97939","SABER","CV-377,IL02-8658","","subplot","714563","SpringOatPeaIntercrop_2024_NY_109_subplot_2","1","3","109","1","19","test","","","","","","","","","","","","","","","0","0","0","0","0","14","22","90","93","101","","","","","","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","97939","SABER","CV-377,IL02-8658","","subplot","714565","SpringOatPeaIntercrop_2024_NY_109_subplot_3","1","3","109","1","19","test","","","296.3","","","","","","","0","","","","","0","0","0","0","0","25","30","88","94","97","","61.4","","","","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","510806","SD180580","SD180580","","subplot","714047","SpringOatPeaIntercrop_2024_NY_10_subplot_1","1","1","10","1","10","test","","","","","269.9","","","","","","","0","","","0","0","0","0","0","21","24","87","106","114","","","","179.9","","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","510806","SD180580","SD180580","","subplot","714048","SpringOatPeaIntercrop_2024_NY_10_subplot_2","1","1","10","1","10","test","","","","","","","","","","","","","","","0","0","0","0","0","46","26","82","96","107","","","","","","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6669","SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.26","","","","","2024-May-03","2024-August-12","82","Ithaca, NY","510806","SD180580","SD180580","","subplot","714049","SpringOatPeaIntercrop_2024_NY_10_subplot_3","1","1","10","1","10","test","","23.7","","","","","","","0","","","","","","0","0","0","0","0","22","23","86","99","110","7.8","","","","","","","","","","","","","","","",""
