subplot_name,subplot_id,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,subplot_number,Plant Height (Text),Pea Plant Height (Text)
SpringOatPeaIntercrop_2024_NY_20_subplot_1,713931,SpringOatPeaIntercrop_2024_NY_20,A25,20,1,,1,,,1,27,0
SpringOatPeaIntercrop_2024_NY_20_subplot_2,713933,SpringOatPeaIntercrop_2024_NY_20,A25,20,1,,1,,,2,28,0
SpringOatPeaIntercrop_2024_NY_20_subplot_3,713935,SpringOatPeaIntercrop_2024_NY_20,A25,20,1,,1,,,3,29,0
SpringOatPeaIntercrop_2024_NY_21_subplot_1,713955,SpringOatPeaIntercrop_2024_NY_21,SD181245,21,1,1,1,,,1,27,0
SpringOatPeaIntercrop_2024_NY_21_subplot_2,713957,SpringOatPeaIntercrop_2024_NY_21,SD181245,21,1,1,1,,,2,25,0
SpringOatPeaIntercrop_2024_NY_21_subplot_3,713959,SpringOatPeaIntercrop_2024_NY_21,SD181245,21,1,1,1,,,3,34,0
SpringOatPeaIntercrop_2024_NY_22_subplot_1,714317,SpringOatPeaIntercrop_2024_NY_22,SD181245,22,1,1,1,,,1,26,0
SpringOatPeaIntercrop_2024_NY_22_subplot_2,714319,SpringOatPeaIntercrop_2024_NY_22,SD181245,22,1,1,1,,,2,28,0
SpringOatPeaIntercrop_2024_NY_22_subplot_3,714321,SpringOatPeaIntercrop_2024_NY_22,SD181245,22,1,1,1,,,3,31,0
SpringOatPeaIntercrop_2024_NY_23_subplot_1,713577,SpringOatPeaIntercrop_2024_NY_23,HAYDEN,23,1,,1,,,1,26,0
SpringOatPeaIntercrop_2024_NY_23_subplot_2,713579,SpringOatPeaIntercrop_2024_NY_23,HAYDEN,23,1,,1,,,2,24,0
SpringOatPeaIntercrop_2024_NY_23_subplot_3,713581,SpringOatPeaIntercrop_2024_NY_23,HAYDEN,23,1,,1,,,3,25,0
SpringOatPeaIntercrop_2024_NY_24_subplot_1,714029,SpringOatPeaIntercrop_2024_NY_24,HAYDEN,24,1,,1,,,1,24,9
SpringOatPeaIntercrop_2024_NY_24_subplot_2,714030,SpringOatPeaIntercrop_2024_NY_24,HAYDEN,24,1,,1,,,2,23,12
SpringOatPeaIntercrop_2024_NY_24_subplot_3,714031,SpringOatPeaIntercrop_2024_NY_24,HAYDEN,24,1,,1,,,3,21,9
SpringOatPeaIntercrop_2024_NY_25_subplot_1,714116,SpringOatPeaIntercrop_2024_NY_25,SABER,25,1,,1,,,1,24,11
SpringOatPeaIntercrop_2024_NY_25_subplot_2,714117,SpringOatPeaIntercrop_2024_NY_25,SABER,25,1,,1,,,2,23,12
SpringOatPeaIntercrop_2024_NY_25_subplot_3,714118,SpringOatPeaIntercrop_2024_NY_25,SABER,25,1,,1,,,3,28,18
SpringOatPeaIntercrop_2024_NY_26_subplot_1,713769,SpringOatPeaIntercrop_2024_NY_26,SABER,26,1,,1,,,1,22,0
SpringOatPeaIntercrop_2024_NY_26_subplot_2,713771,SpringOatPeaIntercrop_2024_NY_26,SABER,26,1,,1,,,2,26,0
SpringOatPeaIntercrop_2024_NY_26_subplot_3,713773,SpringOatPeaIntercrop_2024_NY_26,SABER,26,1,,1,,,3,24,0
SpringOatPeaIntercrop_2024_NY_27_subplot_1,713679,SpringOatPeaIntercrop_2024_NY_27,LEGGETT,27,1,,1,,,1,24,0
SpringOatPeaIntercrop_2024_NY_27_subplot_2,713681,SpringOatPeaIntercrop_2024_NY_27,LEGGETT,27,1,,1,,,2,23,0
SpringOatPeaIntercrop_2024_NY_27_subplot_3,713683,SpringOatPeaIntercrop_2024_NY_27,LEGGETT,27,1,,1,,,3,26,0
SpringOatPeaIntercrop_2024_NY_28_subplot_1,714372,SpringOatPeaIntercrop_2024_NY_28,LEGGETT,28,1,,1,,,1,21,17
SpringOatPeaIntercrop_2024_NY_28_subplot_2,714374,SpringOatPeaIntercrop_2024_NY_28,LEGGETT,28,1,,1,,,2,29,22
SpringOatPeaIntercrop_2024_NY_28_subplot_3,714376,SpringOatPeaIntercrop_2024_NY_28,LEGGETT,28,1,,1,,,3,24,13
SpringOatPeaIntercrop_2024_NY_29_subplot_1,713799,SpringOatPeaIntercrop_2024_NY_29,BUCKSKIN,29,1,,1,,,1,18,12
SpringOatPeaIntercrop_2024_NY_29_subplot_2,713801,SpringOatPeaIntercrop_2024_NY_29,BUCKSKIN,29,1,,1,,,2,29,15
SpringOatPeaIntercrop_2024_NY_29_subplot_3,713803,SpringOatPeaIntercrop_2024_NY_29,BUCKSKIN,29,1,,1,,,3,31,23
SpringOatPeaIntercrop_2024_NY_30_subplot_1,714205,SpringOatPeaIntercrop_2024_NY_30,BUCKSKIN,30,1,,1,,,1,28,0
SpringOatPeaIntercrop_2024_NY_30_subplot_2,714207,SpringOatPeaIntercrop_2024_NY_30,BUCKSKIN,30,1,,1,,,2,30,0
SpringOatPeaIntercrop_2024_NY_30_subplot_3,714209,SpringOatPeaIntercrop_2024_NY_30,BUCKSKIN,30,1,,1,,,3,24,0
SpringOatPeaIntercrop_2024_NY_31_subplot_1,714181,SpringOatPeaIntercrop_2024_NY_31,RUSHMORE,31,1,,1,,,1,22,15
SpringOatPeaIntercrop_2024_NY_31_subplot_2,714183,SpringOatPeaIntercrop_2024_NY_31,RUSHMORE,31,1,,1,,,2,24,14
SpringOatPeaIntercrop_2024_NY_31_subplot_3,714185,SpringOatPeaIntercrop_2024_NY_31,RUSHMORE,31,1,,1,,,3,21,17
SpringOatPeaIntercrop_2024_NY_32_subplot_1,713564,SpringOatPeaIntercrop_2024_NY_32,RUSHMORE,32,1,,1,,,1,25,0
SpringOatPeaIntercrop_2024_NY_32_subplot_2,713566,SpringOatPeaIntercrop_2024_NY_32,RUSHMORE,32,1,,1,,,2,25,0
SpringOatPeaIntercrop_2024_NY_32_subplot_3,713568,SpringOatPeaIntercrop_2024_NY_32,RUSHMORE,32,1,,1,,,3,27,0
SpringOatPeaIntercrop_2024_NY_33_subplot_1,714247,SpringOatPeaIntercrop_2024_NY_33,SADDLE,33,1,,1,,,1,25,0
SpringOatPeaIntercrop_2024_NY_33_subplot_2,714249,SpringOatPeaIntercrop_2024_NY_33,SADDLE,33,1,,1,,,2,24,0
SpringOatPeaIntercrop_2024_NY_33_subplot_3,714251,SpringOatPeaIntercrop_2024_NY_33,SADDLE,33,1,,1,,,3,20,0
SpringOatPeaIntercrop_2024_NY_34_subplot_1,714151,SpringOatPeaIntercrop_2024_NY_34,SADDLE,34,1,,1,,,1,26,23
SpringOatPeaIntercrop_2024_NY_34_subplot_2,714153,SpringOatPeaIntercrop_2024_NY_34,SADDLE,34,1,,1,,,2,23,16
SpringOatPeaIntercrop_2024_NY_34_subplot_3,714155,SpringOatPeaIntercrop_2024_NY_34,SADDLE,34,1,,1,,,3,26,20
SpringOatPeaIntercrop_2024_NY_35_subplot_1,714019,SpringOatPeaIntercrop_2024_NY_35,SD191467,35,1,,1,,,1,27,0
SpringOatPeaIntercrop_2024_NY_35_subplot_2,714021,SpringOatPeaIntercrop_2024_NY_35,SD191467,35,1,,1,,,2,25,0
SpringOatPeaIntercrop_2024_NY_35_subplot_3,714022,SpringOatPeaIntercrop_2024_NY_35,SD191467,35,1,,1,,,3,25,0
SpringOatPeaIntercrop_2024_NY_36_subplot_1,714098,SpringOatPeaIntercrop_2024_NY_36,SD191467,36,1,,1,,,1,22,16
SpringOatPeaIntercrop_2024_NY_36_subplot_2,714099,SpringOatPeaIntercrop_2024_NY_36,SD191467,36,1,,1,,,2,31,16
SpringOatPeaIntercrop_2024_NY_36_subplot_3,714100,SpringOatPeaIntercrop_2024_NY_36,SD191467,36,1,,1,,,3,27,22
SpringOatPeaIntercrop_2024_NY_37_subplot_1,714478,SpringOatPeaIntercrop_2024_NY_37,OT3120,37,1,,1,,,1,24,0
SpringOatPeaIntercrop_2024_NY_37_subplot_2,714480,SpringOatPeaIntercrop_2024_NY_37,OT3120,37,1,,1,,,2,25,0
SpringOatPeaIntercrop_2024_NY_37_subplot_3,714482,SpringOatPeaIntercrop_2024_NY_37,OT3120,37,1,,1,,,3,24,0
SpringOatPeaIntercrop_2024_NY_38_subplot_1,713538,SpringOatPeaIntercrop_2024_NY_38,OT3120,38,1,,1,,,1,23,13
SpringOatPeaIntercrop_2024_NY_38_subplot_2,713540,SpringOatPeaIntercrop_2024_NY_38,OT3120,38,1,,1,,,2,24,15
SpringOatPeaIntercrop_2024_NY_38_subplot_3,713542,SpringOatPeaIntercrop_2024_NY_38,OT3120,38,1,,1,,,3,26,23
SpringOatPeaIntercrop_2024_NY_39_subplot_1,714113,SpringOatPeaIntercrop_2024_NY_39,CORRAL,39,1,,1,,,1,26,0
SpringOatPeaIntercrop_2024_NY_39_subplot_2,714114,SpringOatPeaIntercrop_2024_NY_39,CORRAL,39,1,,1,,,2,24,0
SpringOatPeaIntercrop_2024_NY_39_subplot_3,714115,SpringOatPeaIntercrop_2024_NY_39,CORRAL,39,1,,1,,,3,18,0
SpringOatPeaIntercrop_2024_NY_40_subplot_1,713842,SpringOatPeaIntercrop_2024_NY_40,CORRAL,40,1,,1,,,1,25,13
SpringOatPeaIntercrop_2024_NY_40_subplot_2,713844,SpringOatPeaIntercrop_2024_NY_40,CORRAL,40,1,,1,,,2,25,9
SpringOatPeaIntercrop_2024_NY_40_subplot_3,713845,SpringOatPeaIntercrop_2024_NY_40,CORRAL,40,1,,1,,,3,22,12
SpringOatPeaIntercrop_2024_NY_41_subplot_1,713829,SpringOatPeaIntercrop_2024_NY_41,IL17-5238,41,1,,1,,,1,25,11
SpringOatPeaIntercrop_2024_NY_41_subplot_2,713831,SpringOatPeaIntercrop_2024_NY_41,IL17-5238,41,1,,1,,,2,28,11
SpringOatPeaIntercrop_2024_NY_41_subplot_3,713833,SpringOatPeaIntercrop_2024_NY_41,IL17-5238,41,1,,1,,,3,26,17
SpringOatPeaIntercrop_2024_NY_42_subplot_1,714502,SpringOatPeaIntercrop_2024_NY_42,IL17-5238,42,1,,1,,,1,22,0
SpringOatPeaIntercrop_2024_NY_42_subplot_2,714504,SpringOatPeaIntercrop_2024_NY_42,IL17-5238,42,1,,1,,,2,27,0
SpringOatPeaIntercrop_2024_NY_42_subplot_3,714506,SpringOatPeaIntercrop_2024_NY_42,IL17-5238,42,1,,1,,,3,29,0
SpringOatPeaIntercrop_2024_NY_43_subplot_1,713614,SpringOatPeaIntercrop_2024_NY_43,ND170307,43,1,,1,,,1,27,22
SpringOatPeaIntercrop_2024_NY_43_subplot_2,713616,SpringOatPeaIntercrop_2024_NY_43,ND170307,43,1,,1,,,2,29,18
SpringOatPeaIntercrop_2024_NY_43_subplot_3,713618,SpringOatPeaIntercrop_2024_NY_43,ND170307,43,1,,1,,,3,27,12
SpringOatPeaIntercrop_2024_NY_44_subplot_1,713750,SpringOatPeaIntercrop_2024_NY_44,ND170307,44,1,,1,,,1,23,0
SpringOatPeaIntercrop_2024_NY_44_subplot_2,713752,SpringOatPeaIntercrop_2024_NY_44,ND170307,44,1,,1,,,2,26,0
SpringOatPeaIntercrop_2024_NY_44_subplot_3,713754,SpringOatPeaIntercrop_2024_NY_44,ND170307,44,1,,1,,,3,23,0
SpringOatPeaIntercrop_2024_NY_45_subplot_1,714101,SpringOatPeaIntercrop_2024_NY_45,MN18038X_008,45,1,,1,,,1,20,17
SpringOatPeaIntercrop_2024_NY_45_subplot_2,714102,SpringOatPeaIntercrop_2024_NY_45,MN18038X_008,45,1,,1,,,2,29,16
SpringOatPeaIntercrop_2024_NY_45_subplot_3,714103,SpringOatPeaIntercrop_2024_NY_45,MN18038X_008,45,1,,1,,,3,28,18
SpringOatPeaIntercrop_2024_NY_46_subplot_1,714035,SpringOatPeaIntercrop_2024_NY_46,MN18038X_008,46,1,,1,,,1,28,0
SpringOatPeaIntercrop_2024_NY_46_subplot_2,714036,SpringOatPeaIntercrop_2024_NY_46,MN18038X_008,46,1,,1,,,2,30,0
SpringOatPeaIntercrop_2024_NY_46_subplot_3,714037,SpringOatPeaIntercrop_2024_NY_46,MN18038X_008,46,1,,1,,,3,22,0
SpringOatPeaIntercrop_2024_NY_47_subplot_1,713544,SpringOatPeaIntercrop_2024_NY_47,GOLIATH,47,1,,1,,,1,27,13
SpringOatPeaIntercrop_2024_NY_47_subplot_2,713546,SpringOatPeaIntercrop_2024_NY_47,GOLIATH,47,1,,1,,,2,21,12
SpringOatPeaIntercrop_2024_NY_47_subplot_3,713548,SpringOatPeaIntercrop_2024_NY_47,GOLIATH,47,1,,1,,,3,25,13
SpringOatPeaIntercrop_2024_NY_48_subplot_1,714496,SpringOatPeaIntercrop_2024_NY_48,GOLIATH,48,1,,1,,,1,28,0
SpringOatPeaIntercrop_2024_NY_48_subplot_2,714498,SpringOatPeaIntercrop_2024_NY_48,GOLIATH,48,1,,1,,,2,32,0
SpringOatPeaIntercrop_2024_NY_48_subplot_3,714500,SpringOatPeaIntercrop_2024_NY_48,GOLIATH,48,1,,1,,,3,22,0
SpringOatPeaIntercrop_2024_NY_49_subplot_1,714026,SpringOatPeaIntercrop_2024_NY_49,ND161488,49,1,,1,,,1,28,18
SpringOatPeaIntercrop_2024_NY_49_subplot_2,714027,SpringOatPeaIntercrop_2024_NY_49,ND161488,49,1,,1,,,2,32,18
SpringOatPeaIntercrop_2024_NY_49_subplot_3,714028,SpringOatPeaIntercrop_2024_NY_49,ND161488,49,1,,1,,,3,26,17
SpringOatPeaIntercrop_2024_NY_50_subplot_1,714241,SpringOatPeaIntercrop_2024_NY_50,ND161488,50,1,,1,,,1,23,0
SpringOatPeaIntercrop_2024_NY_50_subplot_2,714243,SpringOatPeaIntercrop_2024_NY_50,ND161488,50,1,,1,,,2,25,0
SpringOatPeaIntercrop_2024_NY_50_subplot_3,714245,SpringOatPeaIntercrop_2024_NY_50,ND161488,50,1,,1,,,3,21,0
SpringOatPeaIntercrop_2024_NY_51_subplot_1,714119,SpringOatPeaIntercrop_2024_NY_51,SD190850,51,2,,1,,,1,26,14
SpringOatPeaIntercrop_2024_NY_51_subplot_2,714120,SpringOatPeaIntercrop_2024_NY_51,SD190850,51,2,,1,,,2,23,8
SpringOatPeaIntercrop_2024_NY_51_subplot_3,714121,SpringOatPeaIntercrop_2024_NY_51,SD190850,51,2,,1,,,3,21,11
SpringOatPeaIntercrop_2024_NY_52_subplot_1,713590,SpringOatPeaIntercrop_2024_NY_52,SD190850,52,2,,1,,,1,18,0
SpringOatPeaIntercrop_2024_NY_52_subplot_2,713592,SpringOatPeaIntercrop_2024_NY_52,SD190850,52,2,,1,,,2,22,0
SpringOatPeaIntercrop_2024_NY_52_subplot_3,713594,SpringOatPeaIntercrop_2024_NY_52,SD190850,52,2,,1,,,3,22,0
SpringOatPeaIntercrop_2024_NY_53_subplot_1,714288,SpringOatPeaIntercrop_2024_NY_53,ND170307,53,2,,1,,,1,28,0
SpringOatPeaIntercrop_2024_NY_53_subplot_2,714290,SpringOatPeaIntercrop_2024_NY_53,ND170307,53,2,,1,,,2,19,0
SpringOatPeaIntercrop_2024_NY_53_subplot_3,714292,SpringOatPeaIntercrop_2024_NY_53,ND170307,53,2,,1,,,3,24,0
SpringOatPeaIntercrop_2024_NY_54_subplot_1,714199,SpringOatPeaIntercrop_2024_NY_54,ND170307,54,2,,1,,,1,26,11
SpringOatPeaIntercrop_2024_NY_54_subplot_2,714201,SpringOatPeaIntercrop_2024_NY_54,ND170307,54,2,,1,,,2,32,9
SpringOatPeaIntercrop_2024_NY_54_subplot_3,714203,SpringOatPeaIntercrop_2024_NY_54,ND170307,54,2,,1,,,3,30,11
SpringOatPeaIntercrop_2024_NY_55_subplot_1,713978,SpringOatPeaIntercrop_2024_NY_55,SADDLE,55,2,,1,,,1,26,5
SpringOatPeaIntercrop_2024_NY_55_subplot_2,713980,SpringOatPeaIntercrop_2024_NY_55,SADDLE,55,2,,1,,,2,27,11
SpringOatPeaIntercrop_2024_NY_55_subplot_3,713982,SpringOatPeaIntercrop_2024_NY_55,SADDLE,55,2,,1,,,3,30,17
SpringOatPeaIntercrop_2024_NY_56_subplot_1,714065,SpringOatPeaIntercrop_2024_NY_56,SADDLE,56,2,,1,,,1,28,0
SpringOatPeaIntercrop_2024_NY_56_subplot_2,714066,SpringOatPeaIntercrop_2024_NY_56,SADDLE,56,2,,1,,,2,29,0
SpringOatPeaIntercrop_2024_NY_56_subplot_3,714067,SpringOatPeaIntercrop_2024_NY_56,SADDLE,56,2,,1,,,3,26,0
SpringOatPeaIntercrop_2024_NY_57_subplot_1,714443,SpringOatPeaIntercrop_2024_NY_57,NEWBURG,57,2,,1,,,1,26,0
SpringOatPeaIntercrop_2024_NY_57_subplot_2,714445,SpringOatPeaIntercrop_2024_NY_57,NEWBURG,57,2,,1,,,2,24,0
SpringOatPeaIntercrop_2024_NY_57_subplot_3,714447,SpringOatPeaIntercrop_2024_NY_57,NEWBURG,57,2,,1,,,3,24,0
SpringOatPeaIntercrop_2024_NY_58_subplot_1,713503,SpringOatPeaIntercrop_2024_NY_58,NEWBURG,58,2,,1,,,1,21,12
SpringOatPeaIntercrop_2024_NY_58_subplot_2,713505,SpringOatPeaIntercrop_2024_NY_58,NEWBURG,58,2,,1,,,2,28,13
SpringOatPeaIntercrop_2024_NY_58_subplot_3,713507,SpringOatPeaIntercrop_2024_NY_58,NEWBURG,58,2,,1,,,3,24,16
SpringOatPeaIntercrop_2024_NY_59_subplot_1,714083,SpringOatPeaIntercrop_2024_NY_59,DEON,59,2,,1,,,1,31,0
SpringOatPeaIntercrop_2024_NY_59_subplot_2,714084,SpringOatPeaIntercrop_2024_NY_59,DEON,59,2,,1,,,2,23,0
SpringOatPeaIntercrop_2024_NY_59_subplot_3,714085,SpringOatPeaIntercrop_2024_NY_59,DEON,59,2,,1,,,3,18,0
SpringOatPeaIntercrop_2024_NY_60_subplot_1,714347,SpringOatPeaIntercrop_2024_NY_60,DEON,60,2,,1,,,1,23,14
SpringOatPeaIntercrop_2024_NY_60_subplot_2,714349,SpringOatPeaIntercrop_2024_NY_60,DEON,60,2,,1,,,2,29,11
SpringOatPeaIntercrop_2024_NY_60_subplot_3,714351,SpringOatPeaIntercrop_2024_NY_60,DEON,60,2,,1,,,3,31,22
SpringOatPeaIntercrop_2024_NY_61_subplot_1,714323,SpringOatPeaIntercrop_2024_NY_61,ESKER,61,2,,1,,,1,32,0
SpringOatPeaIntercrop_2024_NY_61_subplot_2,714325,SpringOatPeaIntercrop_2024_NY_61,ESKER,61,2,,1,,,2,31,0
SpringOatPeaIntercrop_2024_NY_61_subplot_3,714327,SpringOatPeaIntercrop_2024_NY_61,ESKER,61,2,,1,,,3,27,0
SpringOatPeaIntercrop_2024_NY_62_subplot_1,713961,SpringOatPeaIntercrop_2024_NY_62,ESKER,62,2,,1,,,1,33,21
SpringOatPeaIntercrop_2024_NY_62_subplot_2,713963,SpringOatPeaIntercrop_2024_NY_62,ESKER,62,2,,1,,,2,31,21
SpringOatPeaIntercrop_2024_NY_62_subplot_3,713965,SpringOatPeaIntercrop_2024_NY_62,ESKER,62,2,,1,,,3,29,10
